start	end	text
0	9580	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9580	11720	大家好 我是尼莎拉段 大家好 我是尼莎拉凡
11720	17200	本期節目由好味家動起來 日常七貓招呼篇LINE貼圖贊助播出
17200	23140	耶 大家念超久 我們到底什麼時候要出LINE貼圖
23140	26620	我們真的有放在心裡 然後一直不停的在醞釀這件事情
26620	27960	喔 真的假的 有啊
27960	29800	其實我一直都覺得 出LINE貼圖幹嘛
29800	33060	不是嗎 我就是一個重度使用者耶
33060	35800	喔 是喔 因為我自己是沒什麼太在用LINE貼圖啦
35800	40340	原本我是抱持著一個就是要出不出的感覺 覺得沒有必要這樣
40340	41780	那這次的契機是什麼
41780	46720	一直到有一天那個我們的設計師 他穿了一張 他現在那個貼圖裡面
46720	48260	馬虎的那一張
48260	49180	你說問號那個
49180	50300	對 是一個歪頭的問號
50300	50740	歪頭那個
50740	52540	我就 喔 這什麼東西 好可愛喔
52540	56300	他就說 喔 這LINE貼圖喔 我就 喔 好像不錯喔
56300	57640	畫來畫來看看
57640	58600	對
58600	59780	然後我們醞釀一下
59780	60660	大概也很久
60660	62500	我們大概從第一個版本
62500	64860	原本喔 就是我跟那個設計師兩個人在討論
64860	65280	對
65280	67120	討論完之後我覺得說 欸 差不多了
67120	68320	畫了24個主題
68320	68740	對對對
68740	70740	20張動圖 就差不多了
70740	72480	然後找大家一起來討論
72480	75540	就發現每一個人對LINE貼圖的想像
75540	76360	天差地遠
76360	79120	都不太一樣 就是跟使用習慣有關係
79120	81020	對 需求完全都不一樣
81020	83660	所以我們好不容易整合了大家所有的資訊
83660	86200	然後重畫了大概12張
86200	87620	差不多喔 差不多
87620	89020	花了一整年的時間
89780	91780	才把這個貼圖做完
91780	92780	沒錯
92780	94780	好啦 我真心覺得超可愛
94780	98780	他現在已經變成我們所有小夥伴在船群組的時候必用的貼圖了
98780	99780	欸 沒有錯
99780	101780	大家在LINE的貼圖小鋪裡面搜尋好味小姐
101780	103780	應該就可以找到我們囉
103780	106780	好 現在時間是7月11號星期一
106780	107780	星期一
107780	109780	凌晨12點23分
109780	110780	這個時間非常的奇怪
110780	111780	沒錯
111780	112780	通常我們錄的時候
112780	113780	都在星期二的凌晨
113780	114780	對 是星期二的凌晨
114780	115780	但現在是星期一的凌晨
115780	117780	整整找了24個小時
117780	119780	喔 為什麼會這樣子呢?
119780	122780	因為陳春蘭她即將要出發去環島旅行
122780	123780	沒錯
123780	125780	現在超緊張又超興奮的
125780	127780	這個心情很忐忑
127780	128780	而且非常刺激
128780	129780	不是她去喔
129780	131780	是陳春蘭要跟雷夢
131780	132780	跟月粉她老婆
132780	133780	沒錯
133780	134780	對 一個媽媽
134780	135780	帶一個一歲半的小孩
135780	137780	帶一個五個月的孕婦
137780	138780	沒錯
138780	139780	他們三個要一起去環島旅行
139780	141780	沒錯
141780	143780	這件事情其實我放在心裡想很久了
143780	146780	但是當初沒有想到是一個規模這麼大的旅行
