start	end	text
0	7700	哈囉 大家好 歡迎來到好味小姐開束
7700	9500	我還你原型 我是翠翠
9500	10800	大家好 我是金翼沙端
10800	12000	大家好 我是林聖梵
12000	15500	我覺得我今天現在這個right now有點掃香
15500	18100	好 那個說明一下
18100	21000	現在時間3月15日
21000	24800	凌晨3點26分
24800	28700	這是一個應該要就是已經吃完宵夜躺在床上的一個時間
28700	31300	基本上 沒錯
31300	35200	我一度有在內心深處許願想說你會說
35200	38400	覺得太晚了 快點先錄好了
38400	40900	不行 我剛剛有這樣想
40900	42400	有嗎 但是我剛剛有這樣想
42400	44400	因為雷夢才剛睡著沒多久
44400	46400	冒出冒進腦海裡面這個想法
46400	46900	對 這個想法
46900	48400	你為什麼要放棄它 你為什麼沒有抓住
48400	49900	這個想法也是合理的
49900	51400	對啊 真的很累 因為已經很晚了
51400	53600	對啊 就很累 今天也做了很多事情
53600	56300	對 今天做很多事 但是說不過去
56300	58400	為何 要跟大家解釋連續
58400	58500	因為我們放棄了 因為我們放棄了 因為我們放棄了
58500	59000	因為我們放棄了
59000	59600	因為我們放棄了 three 天連假
59600	60700	我們不能任性的說
60700	62100	因為我們放了 three 天連假
62100	65000	我們不能任性的說我們拖延症發作嗎
65000	66600	確實是拖延症發作沒有錯
66600	67500	那
67500	70600	就是說 如果說你今天是一個普通的上班日
70600	72000	什麼殺覇的
72000	73800	你今天早上有上班
73800	75300	我們太累 實在太累
75300	77400	然後禮拜六還要補班
77400	78300	之類的
78300	81100	你今天早起也是11點起來去吃肉粽而已
81100	83000	你今天早起也是11點起來去吃肉粽而已
83000	84600	甚至我覺得說不過去
84600	85900	不行
85900	87400	良心過一步去就對了
87400	87860	沒錯
87860	88400	我們現在3點半了
88400	89040	半嘛对不对
89040	89880	三点半
89880	90780	然后在那边录录录
90780	91820	录完一个多小时
91820	92540	四五点吧
92540	94040	通常录完是一个半
94040	94420	对
94420	95340	然后我要去剪嘛
95340	95760	对不对
95760	96340	如果
96340	97580	你真的会去剪吗
97580	98280	我不是在开什么玩笑
98280	99060	我不去剪
99060	99680	我现在干嘛录
99680	100420	也是
100420	102400	如果说我们真的可以在
102400	104080	就是大家早上去上班的时候
104080	106220	廉价过完第一天
106220	106740	上班的时候
106740	108140	会有办法听到这期podcast
108140	111860	太伟大了
111860	113040	就表示说我真的是一个
113040	115060	就是工作非常认真
115060	117460	这个态度非常
117460	118520	表示你是一个
118520	119400	拖延症的受害者
119400	121060	工作效率极高
121060	121660	极高
121660	122840	还有一个剪辑师
122840	123640	擅长在
123640	124800	参加这二天
124800	125580	写书要怎么
125580	129260	极限的工作速度
129260	130620	肾上腺素的发作
130620	130980	对
130980	133100	我觉得这一集讲话会很ㄎㄧㄤ
133100	134520	因为我想睡觉的时候
134520	136020	就很容易不过脑
136020	136380	我也是
136380	137420	这是个原因
137420	138940	因为已经就是
138940	140200	疫情的关系就对
140200	141940	大家已经关在家里太久了
141940	142460	真的
142460	143600	什么时候做完
143600	144240	什么时候做变
144240	145720	放假也没有放假的感觉
145720	146140	其实
146140	147420	就已经像平日的感觉
147420	147440	对
147440	149400	我们录Podcast的时候
149400	150200	是闲聊嘛
150200	150460	对
150460	152220	然后我们自己
152220	153240	有给自己一个期许
153240	154860	就是我们绝对不讲一些
154860	155220	就是
155220	156540	有用的事情
156540	158040	也严肃的事情
158040	159700	稍微有用都不行
159700	161960	可是我们上一集很有用啊
161960	162580	上一集很有用吗
162580	163140	上一集讲什么
163140	164340	我教大家怎么刷牙
164340	165220	很多人会说
165220	166440	他回去造作之后
166440	168600	就是觉得有显著的改善
168600	169060	真的假的
169060	170080	你如果觉得跟我们
170080	171940	这个频道的初衷有违背
171940	172760	你自己要检讨
172760	174400	是你硬要受访我的
174400	175080	奇怪
175080	177020	我是受邀的
177020	177400	好
177400	179180	简单说我们给自己期许
179180	180300	我们要成为
180300	181400	最废的
181400	185920	我们尽量做到
185920	188000	有多废就多废
188000	189660	一点实用价值都没有
189660	190040	OK
190040	191080	为什么这样
191080	192900	我前几天接受了一个
192900	194500	接受了一个访谈
194500	195340	对
195340	197280	一个就是在研究Podcast
197280	197800	这个访谈
197800	198560	基本上这种访谈
198560	199360	我们都推掉
199360	200900	因为有点麻烦
200900	201800	要花很多时间
201800	202900	而且通常要很久
202900	203160	对
203160	204920	但是我看到那个访谈的时候
204920	205460	就是说
205460	206680	他要研究就是
206680	207360	YouTube
207360	209540	我发现你那个内心的良善之地
209540	210560	被发现
210560	212240	他研究生
212240	213680	然后他研究说Podcast
213680	214640	转成YouTuber
214640	215660	不是YouTuber
215660	216500	转到Podcast
216500	217420	YouTuber转成Podcast
217420	217780	对
217780	218540	然后还要
218540	220200	就是顺利
220200	221500	然后成绩还
221500	222960	算是有一点小成绩的
222960	223520	还可以这样子
223520	223880	对对对
223880	225160	这样不多
225160	226320	这样你要采访多少人
226320	227300	YouTuber就
227300	228600	YouTuber还算多
228600	229940	但又要转Podcast
229940	231380	就少了一大堆了
231380	231620	对
231620	232520	又要做到现在
232520	233540	我觉得还算是
233540	235060	自己觉得蛮有心得的
235060	235960	又更少了
235960	236160	对
236160	237240	然后还要愿意受访
237240	237480	对
237480	238380	还要不嫌麻烦
238380	240280	凤毛灵酒
240280	241300	根本就没有人
241300	241680	对
241680	242660	基本上没有人
242660	243400	我就以为总说
243400	244680	我们如果不接受他的访谈
244680	245560	他好像没办法毕业
245560	248140	你想到当初的我了吗
248140	248620	没错
248620	249000	然后我就
249000	250240	好可怜
250240	251740	最后他访谈
251740	251940	对
251940	253280	然后他最后问我们一个
253280	253980	很宽的问题
253980	254720	问我说
254720	255380	对Podcast
255380	256600	对我们这个频道
256600	257840	我们有什么期许
257840	259040	我说我们想要尽量
259040	260000	很不会答这种
260000	261040	很宽的问题
261040	262440	我稍微想一下
262440	263540	我觉得我们想要做一个
263540	264680	就是真的很废的频道
264680	266300	我们想要废到
266300	266700	不要带给大家
266700	267180	更多
267180	268120	认真的压力
268120	268380	对
268380	269540	这些频道
269540	270920	就是假装自己很废
270920	271660	假装在闲聊
271660	272020	对
272020	273340	三不识
273340	275200	偷偷放一点小鸡汤
