start	end	text
0	7460	好 大家好 歡迎來到好位小姐跟束縛
7460	9160	我還你冤心 我是翠翠
9160	10260	大家好 我是阿段
10260	11180	大家好 我是聖梵
11180	15940	嘿 本集由我們自己好位三天的幼母貓館贊助播出
15940	17000	太好了 終於
17000	19360	終於等到這一刻了
19360	20780	害怕那個貓都長大了
20780	23640	我們超久超久以前就預告有這個東西耶
23640	23980	沒錯
23980	25700	我忘記在幾集之前了
25700	27140	反正我記得超級久以前
27140	30040	好 我們現在終於可以正式好好來跟大家介紹
30040	31660	而且它也已經上架了
31660	31900	沒錯
31900	33300	好不好 官網已經看得到了
33300	35180	但是這個幼母貓主食罐呢
35180	36520	我們一樣嘛 就是一加一
36520	38740	就是一罐主食罐跟一個專用營養粉包
38740	39060	對
39060	40220	因為是幼貓關係
40220	41540	所以我們在主食罐裡面呢
41540	43060	就有添加貓用羊奶
43060	43260	沒錯
43260	44680	然後在營養粉包裡面呢
44680	46240	就有添加貓用的奶粉
46240	46520	沒錯
46520	47560	就是兩個
47560	49940	你都可以讓貓咪吃到濃濃的奶味
49940	50380	沒錯
50380	52100	小貓真的超級喜歡的
52100	53940	然後另外一部分就是
53940	56700	這次還有額外就是做那個牛奶蓋的添加
56700	56940	嗯
56940	58960	對 因為其實可能有在關注的人就知道
58960	60600	小貓啊 還有那種孕貓
60600	62340	就剛生完小貓的媽媽們
62340	64200	他們是特別缺鈣的
64200	64340	對
64340	65660	需要特別補充一下
65660	67260	所以我們加了很多副方的鈣質
67260	70380	就是讓整個罐頭裡面的鈣含量是很高很豐富的
70380	71840	那這個好不好吃的這個部分
71840	74620	我們之前有做過兩次的這個試吃的活動
74620	74780	對
74780	76360	為什麼做了兩次
76360	77860	就是因為做了第一次之後
77860	79680	大家覺得試口性不太好
79680	81060	有些貓不吃
81060	81820	之類的
81820	83520	還是質地不知道怎麼樣
83520	85000	好像是切會太黏還是什麼的
85000	85180	對
85180	86560	所以我們做了兩次
86560	86900	對
86900	88020	到第二次之後呢
88020	90320	這個喜歡吃的貓的那個比例
90320	91160	大幅提升
91160	92240	變得非常的高
92240	93680	大概有八九十趴
93680	95680	他們都說他們自己家的貓是喜歡的
95680	95900	對
95900	97700	而且大家家裡的貓都不一定是小貓
97700	98200	對
98200	99040	有的是成貓
99040	99960	挑嘴成貓
99960	100260	對
100260	103140	所以說我相信如果對小貓或是母貓來說
103140	104880	應該會更接受都會更廣的一點
104880	106120	應該是會蠻喜歡的這樣子
106120	106280	對
106280	107880	然後現在還有另外一個活動
107880	111380	就是我們要搭配4月1號一起現在先搶先提出的
111380	113040	只要店內消費滿1000塊
113040	116460	你就可以得到貓肉店口味的收帳包
116460	116780	沒錯
116780	116880	沒錯
116880	118380	I think 去年只有DayDay的
118380	120460	欸我們這次直接推出三個口味
120460	121380	欸
121380	122780	去年我們在3月
122780	124880	我記得我們影片好像是3月30號的時候發
124880	125420	對
125420	126780	然後大家都說騙人
126780	127520	沒錯
127520	128100	結果
128100	129380	欸想不到是真的嗎
129380	130460	對反轉
130460	131820	而且去年馬上就賣完
131820	133660	因為我們本來覺得這個東西很離奇
133660	135160	覺得應該不會有多少人要買
135160	136460	我們就訂超少的
136460	137840	我們那時候說是給人的嘛對不對
137840	138500	對對對
138500	140760	結果後來發現大家給我們的回饋
140760	141880	人的反應不是很好
141880	143040	哈哈哈
143040	146220	大家一堆人跟我說開到說欸很臭很害怕
146220	146760	所以我也退貨
146760	149260	家裡沒有貓的那種
149260	149760	對
149760	151260	真的會受不了來退貨
151260	151760	對
151760	152760	但是家裡有貓的
152760	153260	嗯
153260	154760	就他的貓都超喜歡
154760	155260	愛死欸
155260	155760	我們有很多
155760	156260	對超級喜歡
156260	158260	我們有很多那個貓咪瘋狂的影片
158260	159760	然後也有很多就是人家就是說
159760	162260	欸我們家這個味道已經玩到淡掉了
162260	163260	請問我們還有沒有
163260	164260	還有沒有
164260	165260	好就是現在
165260	167260	等了一年就是有一個滿額正的活動
167260	168260	大家可以參考看看
168260	168760	嗯
168760	171760	好現在的時間3月29號
171760	174760	3點32分
174760	175260	嘿
175260	175760	我們剛剛拍了一支片喔
175760	176760	我們剛剛拍了一支片喔
176760	177260	半支
177260	177760	半支
177760	178260	半支片
178260	179760	因為拍到覺得不行了
179760	180760	再拍下去天要亮了
180760	181760	來不及錄Podcast了
181760	182260	哈哈哈
182260	183260	所以只錄了半支
183260	183760	對
183760	184760	就這一個月以來
184760	186760	我們腦波肉影片一直不停的延後
186760	187260	對
187260	189760	但是其實我們每天也是馬不停蹄
189760	190260	對
190260	191760	原因呢是出在
191760	193260	大家之後可能就會知道
193260	193760	嗯
193760	194760	就是好幾週以前喔
194760	196260	有一次拍了一部片
196260	197260	拍得太累了
197260	197760	哈哈哈
197760	200260	累到我們之後直接休息三天
200260	200760	對
200760	201760	自從那三天之後
201760	202760	我們所有的東西都趕不上
202760	203260	趕不上
203260	203760	哈哈哈
203760	204260	對
204260	206760	而且那支片的拍攝時程
206760	207760	真的很好打
207760	208260	對
208260	208760	對
208760	209260	總而言之呢
209260	210760	我們現在這個禮拜三
210760	213260	我們期望可以準時的上片
213260	214260	腦波肉的部分
214260	214760	嗯
214760	216760	然後今天這集呢是一個
216760	217260	這個
217260	218260	讀書心得的分享
218260	219260	是你的主秀欸
219260	219760	讀書心得
219760	220260	對
220260	221760	就是我上禮拜呢
221760	223760	紅樓夢沒看完又去開心坑
223760	224260	對
224260	226260	大家知道我有很多藏書喔
226260	226760	對
226760	227260	然後
227260	228260	哈哈哈
228260	229260	我最近又
229260	230260	阿斷格
230260	230760	對
230760	231760	受不了欸
231760	233760	所以我最近又添購一批書籍
233760	234260	嘿
234260	235760	這批書籍是關於這個
235760	236760	台灣的一些
236760	238760	一些以前的故事啊
238760	239760	食物的故事啊
239760	240760	或什麼東西的故事
240760	242760	有點像是土地人文誌的感覺
242760	243760	對對對對
243760	245260	哇你好社會主喔你
245260	245760	對
245760	246760	我最近想要提升一點我這個
246760	248260	在地的一個內涵的感覺
248260	248760	文化含釀
248760	249760	嘿嘿嘿
249760	250260	是是是
250260	250760	好
250760	251260	然後呢
251260	252260	我買了一本這個
252260	254260	台灣都市傳說百科
254260	254760	嗯
254760	255760	欸因為我覺得很好看
255760	256760	超級厚欸
256760	257260	超級厚
257260	258260	但是我很快就把它看完了
258260	259760	因為裡面都是一些故事啦
259760	260260	嗯
260260	260760	然後
260760	262260	就是一些都市傳說你知道嗎
262260	262760	嗯
262760	263760	有些是有恐怖的故事
263760	264760	或是一些傳說
264760	265760	零頭姐之類的嗎
265760	266760	小女孩子
266760	267260	之類的
267260	267760	欸之類的
267760	268260	喔
268260	269760	但是它是一個比較嚴謹的
269760	270760	有一些調查
270760	271260	喔
271260	272260	有一些文獻
272260	273760	告訴你說這個東西是從哪裡來
273760	274760	嗯嗯
274760	276260	經過了誰去發陽光彈
276260	277060	然後搞得大家都知道
277060	277760	把大家嚇個半死
277760	278260	喔
278260	279260	啊事實上它原本可能是怎麼樣
279260	280760	那它會推敲它的可能性嗎
280760	281260	會啊
281260	282260	它會說這到底是
282260	283760	有的是真的有的是假的
283760	284260	嗯
284260	285260	有些你覺得很誇張的
285260	286260	但其實是真的
286260	286760	可能是真的
286760	287260	對比如說
287260	287760	它有一個
287760	288260	不恐怖
288260	289260	我們今天這集雖然
289260	290760	這本書是都市傳說
290760	291260	嗯
291260	291760	但是我說的
291760	292760	我還在想說我們要不要加
292760	294260	僅餘晚上不要自己一個聽
294260	295260	我有挑選過
295260	296760	我所有的內容都不會
296760	297460	都不恐怖
297460	297960	好好好
297960	299960	欸然後都不會跟就是
299960	301260	阿飄扯上任何關係
301260	302460	它一直叫我看
302460	302760	嗯
302760	305560	但是我是那種晚上夜來人靜很容易
305560	306460	胸抗胸胖的人
306460	307260	抖抖的那種
307260	308460	我就不敢看
308460	309960	我看了第一篇它是在講
309960	312260	紅衣小女孩會把它蓋起來
312260	313260	我就不想看
313260	315060	紅衣小女孩滿毛的
