start	end	text
0	9580	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9580	11700	大家好 我是尼斯阿端 大家好 我是尼森凡
11700	13960	本集呢 有預錄的廣告喔
13960	17520	本集節目由VTEC防水鞋贊助播出
17520	21680	VTEC 2022年全新ARC系列鞋款
21680	24820	那他們這個新系列的材質呢 是採用透氣網布
24820	27100	所以穿的時候會非常的透氣 很舒服
27100	29560	就算你走一整天也不會覺得腳悶悶的喔
29560	32180	那專利的四層技術除了防水透氣
32180	35700	還能抗寒防風 抗菌抗汙 防刷耐熱
35700	38740	12大特性徹底防護 One shoes for all
38740	43000	我覺得我們家呢 現在差不多已經被VTEC的鞋鞋攻佔了
43000	43480	嗯 沒有錯
43480	46880	就是基本上我們每次出門 幾乎都會穿他們家的鞋子
46880	50560	那我自己是覺得呢 一整天下來你不會覺得腳悶悶的不舒服
50560	52360	然後地形適應度也蠻高的
52360	54380	像有時候我們會帶某某去公園玩啊
54380	56500	然後踩進沙坑的時候也會覺得很安心
56500	57820	不用怕沙子跑進去
57820	59320	喔 那如果那天下雨的話
59320	59540	你就會覺得很舒服
59540	60440	就覺得超賺
60440	63380	對 會覺得還好有穿他們家的鞋子出門
63380	66720	尤其現在這種就是一天到晚在下西北雨的天氣
66720	69200	你如果沒有穿VTEC的鞋就覺得很沒有安全感
69200	70180	沒錯
70180	74080	那之前其實我們有推薦過他們家另外一款是N21的鞋款
74080	76720	那那一款鞋呢 比較像是襪套型的鞋子
76720	78320	喔 就是比較高筒一點
78320	81220	對對對 那他們這次推出的這個ARC系列呢
81220	84660	我覺得造型上更像是球鞋 就是有鞋帶的
84660	87040	那它這款是屬於低筒的款式
87040	89300	所以說跟之前那個高筒的比起來
89300	93500	我第一次看到的時候會覺得有點沒安全感的感覺
93500	96340	就覺得那個水是不是 因為它現在鞋筒變低嘛
96340	98600	想說那個水會不會從側面漏進去這樣子
98600	100340	喔 就從穿鞋那個洞漏進去
100340	101940	因為之前那個像襪子 你知道嗎
101940	103740	它的包覆感是比較強的
103740	105920	但是我實際穿了之後我就發現說
105920	107420	其實它雖然是低筒的
107420	109080	但它那個鞋筒的邊緣
109080	112560	就是有巧妙的貼合你的這個腳踝的形狀
112560	114020	喔 有點密封性的感覺
114020	115220	包起來的感覺
115220	116720	喔 這個細節我覺得蠻不錯的
116720	119060	對 然後我自己還覺得另外一點就是他們這次整體
119060	119300	對 然後我自己還覺得另外一點就是他們這次整體造型的感覺
119300	121060	造型上感覺比較休閒感
121060	123680	所以我覺得穿搭上應該也會非常的方便
123680	125000	所以推薦給大家
125000	125840	那他們現在呢
125840	128240	官網下單就是一雙級免運
128240	129680	那如果你購買小白鞋呢
129680	132980	還可以用優惠價加購防水噴霧一瓶
132980	134640	那你加入官網新會員呢
134640	137480	立刻想100元的紅利線折抵
137480	140760	那結帳的時候記得要輸入好位的專屬優惠碼
140760	143600	MEOW 就是喵
143600	144920	喔 是這個意思
144920	147760	對 會在想88折優惠喔
147760	149060	那更多的活動詳情呢
149060	152840	大家可以點擊資訊欄裡面的官網連結去看看喔
152840	157000	好 現在時間10月18日凌晨2點42分
157000	158540	早一點點
158540	161400	算了 隨便 我已經放棄了
161400	164240	喔 我今天這個
164240	166780	很有感觸
166780	169040	對 我要講一件讓我很有感觸的事情
169040	172420	你們有沒有什麼時候
172420	175820	他那個四笑分笑的臉就是要講幹話
175820	176820	這集要講個幹的
176820	177960	你們有沒有什麼時候
177960	178820	沒有 一定沒有
178820	179060	沒有 一定沒有
179060	180660	就是發現自己
180660	186740	就覺得自己突然認為自己是一個很棒的人
186740	188540	就對你來說是不是不難
188540	189880	沒有沒有 很少見
189880	190180	是嗎
190180	193280	就很明確的認知到我自己
193280	196820	我本人是一個這個宇宙的善的集合體
196820	198440	這太扯了
198440	200380	這種程度就覺得說
200380	201720	世界因你而美好
201720	207220	對 我這人人品人格真是太棒了
207220	209060	簡直證量 哇 這誇張了
209060	211660	像水晶般的純潔無瑕
211660	214060	我覺得我可能有小小的這個
214060	214900	覺得自己不錯
214900	216160	但好像沒有到照亮世界的等級
216160	217640	沒有到這個程度
217640	218440	就是那時候
218440	219840	照亮世界的等級
219840	221000	世界燈塔沒有
221000	221740	好像沒有這個等級
221740	224500	就是所有世界的善在我身上反射出來
224500	225340	照給大家
225340	226380	我覺得你是燈塔的話
