start	end	text
0	8460	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8460	8940	我是翠翠
8940	9920	大家好 我是阿段
9920	10700	大家好 我是聖神凡
10700	12120	歡迎接受預錄的廣告喔
12120	16280	本集節目由For Real Luna 4 揭面美容衣贊助播出
16280	20060	來自瑞典的美容衣品牌For Real 最有名的就是他們的洗臉儀
20060	23000	我們從去年開始使用Luna 4洗臉儀
23000	26640	獨家的脈動科技可以深入清潔帶走毛孔髒污
26640	30020	實驗證明可以清潔臉部99%髒污和殘妝
30020	33840	柔軟的抗菌矽膠刷不傷肌膚還可以溫和的去角質
33840	35860	洗起來很療癒而且全肌防水
35860	37720	洗澡的時候使用也完全沒有問題喔
37720	40720	Luna 4針對不同的膚質也有不同的肌型
40720	43660	我使用的是混合肌專用的淺綠款
43660	47160	簡介是他們這次拿到的是男士專用的Luna 4 Man
47160	50360	另外還有敏感肌跟平和肌專用肌型
50360	52940	所以大家可以依照自己的膚質狀況做挑選
52940	55400	想要好肌膚清潔絕對是重要的第一步
55400	56560	毛孔洗乾淨之外
56560	58040	感覺貧富也變得更健康
58040	59460	不容易長痘痘跟粉刺
59460	62300	最後最後呢是最重要的優惠活動啦
62300	64280	那For Real黑五優惠開跑
64280	67200	指定品項最低5折全年最低價
67200	68820	優惠直到11月29號
68820	70040	大家記得要把握機會喔
70040	71480	以上資訊分享給大家
71480	73480	產品的連結我們已經放到資訊欄裡面
73480	74980	大家記得點開來看看喔
74980	79980	現在時間是11月20日晚上11點11分
79980	81020	雙11
81020	82420	什麼東西
82420	85640	然後這個今天告訴各位
85640	86320	我們有辦法
86320	86540	好
86540	86560	好
86560	88200	在這邊錄Podcast
88200	90080	根本就是個奇蹟
90080	91600	能不能錄完還不知道
91600	93000	簡直就是個奇蹟
93000	95080	等一下隨時都會被打斷喔
95080	96440	那個陳川啊
96440	98320	他們就是我該怎麼說
98320	100760	他們算是得到報應
100760	102680	你怎麼會
102680	105480	這個是所謂愛睡不怕老痞醉
105480	107120	就那個上上個禮拜四嗎
107120	108840	就是我們藍骨頭上市那一天
108840	109320	對
109320	110440	晚上就做直播嘛
110440	110960	沒錯
110960	111640	就很辛苦啊
111640	112800	大家都要回留言啊
112800	115040	對所有人忙到11、2點這樣
115040	116540	結果陳川
116540	118100	跟那個一位粉絲老婆
118100	121500	他們隔天跟辦公室一群人約好去錄影
121500	123820	我們三個月前就約好了
123820	125380	你知道營區有多難定嗎
125380	125940	去錄影
125940	128820	在我們這次公司推出了一個重要的產品
128820	131580	大家都在忙著就是回答客戶麻煩死掉
131580	133860	解決一堆莫名其妙冒出來問題的時候
133860	135380	他們一群人浩浩蕩蕩
135380	135860	就出發了
135860	137860	我們三個月前不知道那一天要直播
137860	140180	公司的車全部開走
140180	142420	他把公司一半人帶走
142420	143220	帶走
143220	143700	對
143700	145540	過分在跟之前
145540	146380	就我在那個
146380	147500	跟我們的剪輯師
147500	148940	緊鑼密鼓的討論說
148940	151460	這個板骨頭上架時候的那個影片
151460	153100	然後怎麼呈現什麼之類
153100	154580	我在那邊修片的時候
154580	157060	就看到那個我們一個企劃小夥伴
157060	158340	偷偷摸摸
158340	159220	偷偷摸摸
159220	160700	畏畏縮縮
160700	161740	捏手捏腳
161740	164540	在那個下午2點的時候
164540	165940	突然就是接到訊息說
165940	167940	我要去拿外送
167940	169660	我想說哇塞太辛苦了吧
169660	171460	忙到下午2點
171460	173060	還沒有時間吃午餐
173060	174540	現在才叫外送
174540	176340	然後就看到他跑出去
176380	178700	然後默默的踢著兩大袋
178700	180260	全聯的東西
180260	181340	就他們叫外送
181340	182820	去全聯買東西
182820	184580	然後就這樣從我旁邊這樣子
184580	185820	默默的走過去這樣
185820	187380	然後都沒有發出聲音
187380	188820	我就好奇瞄了一下
188820	190460	一堆那個牛排之類的
190460	192260	反正烤肉要用的肉啊
192260	193580	一些零食這樣
193580	194620	生菜之類的
194620	195540	我就盯著他一眼
195540	196860	然後他也回頭看我一眼
196860	199060	然後就跑掉了
199060	201220	那時候我還沒有想到說
201220	202500	我想說他午餐要吃什麼
202500	203900	幹嘛他堂堂正正請了
203900	205580	隔天的假興去個屁
205580	206220	然後突然就
206380	208380	原來你們在這個時候
208380	211380	上班時間在準備隔天餐
211380	213780	我們忙裡偷閒好不好
213780	214700	要去錄影的司采
214700	215740	已經飄到山上了
215740	216540	已經飄到山上
216540	219220	他們已經不管這一切的事務了
219220	220980	然後在這個之前
220980	222180	在上禮拜
222180	224260	也是我們那個企劃的小夥伴
224260	225180	我就看到他突然
225180	226940	傳了一堆訊息給陳春環
226940	227540	我只是瞄到
227540	228380	因為陳春環手機嘛
228380	230660	我只瞄到一大堆
230660	232300	看起來就是很複雜
232300	234140	很詳細的資訊
234140	236300	就那一跳出來對話超長這樣一串
236380	237900	然後我就看說
237900	239500	發生了什麼事情
239500	240940	是不是我們的那個
240940	242180	有什麼業配什麼樣的
242180	243100	常常要改啊什麼之類
243100	244060	緊急事務啊
244060	244700	這麼危險
244700	245540	為什麼只跟你講
245540	246900	沒有跟我講
246900	247580	他說沒有啦
247580	248860	這是我們那個
248860	250300	錄影的企劃書
250300	250700	我說
250700	251380	哇靠
