start	end	text
0	8700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9300	我是翠翠
9300	10200	大家好 我是阿段
10200	11200	大家好 我是阿凡
11200	12600	本期節目由換毛劑到了
12600	14000	先使換毛膏送給你
14000	15400	贊助播出
15400	18800	換毛劑就是大概在春秋這兩季的時候
18800	20700	貓咪會因為天氣要變了嘛
20700	23400	所以他把身上的毛換成另外一套毛
23400	25500	用來應變天氣的變化這樣子
25500	27800	所以這段時間就是他的肺毛會大爆發
27800	28400	對對對
28400	30000	就摸著摸著就發現
30000	30800	手上都是毛
30800	32300	滿手都是這樣
32300	33100	所以這個時候呢
33100	35900	因為貓咪平常他們是很喜歡舔自己的生物
35900	39300	然後像我們家Dacom是還更愛舔呼呼的生物
39300	41800	對 所以這個時候他們就很容易因為吃太多的毛
41800	43100	然後讓他們腸胃不舒服
43100	45700	有的貓可能甚至會有嘔吐的狀況
45700	46600	那像這個時候呢
46600	49300	就是很適合來幫貓咪補充一些化毛的產品
49300	52000	像我們自己就有好味先使化毛膏
52000	53100	我們的先使化毛膏呢
53100	54700	主打就是不添加礦物油
54700	57300	用天然的食材促進貓咪的腸胃蠕動
57300	58300	讓他可以溫和的
58300	59000	排毛
59000	60500	重點是還很好吃
60500	62100	對 就是還很好吃
62100	65000	沒錯 就是現在我們家有貓開始吐了
65000	66200	然後我們才發現有貓吐了之後呢
66200	68300	我們就會開一罐化毛膏
68300	70200	然後把我們就是全家貓餵一遍
70200	71500	現在已經開始產生了
71500	72300	當有貓吐之後
72300	75600	大家會聚過來的狀況
75600	76700	有點危險
76700	77700	開Party了
77700	79200	就是那個聲音很像是
79200	80100	牠吐了 牠吐了
80100	81400	我們在旁邊等這樣
81400	83700	很像是那種有的貓聽到開罐頭的聲音
83700	85100	嘣的時候會衝過來一樣
85100	86500	對 現在就是氣氛很奇怪
86500	87700	一個神秘的賽
87700	88200	對
88900	90800	只要在我們好會逛的下單買1200呢
90800	93000	就會直接送給大家一罐鮮食化毛膏
93000	95100	那口味是可以備注選擇的
95100	96200	那如果你沒有備注的話
96200	98700	我們的夥伴就會直接隨機送一罐給你唷
98700	100300	所以原本你不管是要買主食罐呢
100300	101100	還是零食的話
101100	103400	現在正好是一個補貨的好時機唷
103400	104500	好 那推薦給大家
104500	106300	我們會把資訊放在資訊欄裡面
106300	107600	大家記得要點開來看唷
107600	110900	現在時間是4月2日凌晨1點59分
110900	112600	欸 今天又是一個怎麼說
112600	113200	凌晨
113200	114900	垂死病中金座級的狀態
116900	118200	大家都不小心默默的
118200	118700	睡著
118700	120200	對對對
120200	122700	又出褲了
122700	124100	就這個樣子
124100	126600	今天想來跟大家討論一下
126600	127800	我現在其實有點困擾
127800	128700	困擾
128700	130200	我覺得我們公司遇到了一個
130200	131900	很重大的這個
131900	134300	管理危機
134300	135900	管理層不就我們三個人嗎
135900	137600	沒有沒有
137600	139600	我們要怎麼去處理一件
139600	142300	就是在公司人員中間產生的一個
142300	143200	人禍
143200	144200	人禍
144200	144800	這麼嚴重
144800	146700	你說我們需要處分那個人嗎
146700	147600	我就覺得怎麼
147600	148600	應該有人
148600	149600	喔 出來扛
149600	151100	應該有人要對
151100	152100	要負起責任
152100	154100	付出代價的這種程度
154100	155600	這麼嚴重嗎
155600	157600	我們公司發生這麼大的事情
157600	158600	很可怕
158600	160600	悲劇的事件
160600	161600	這個事件啊
161600	164600	是在一個普通平日的下午
164600	166600	已經接近下班時間
166600	168600	大家可能6點下班比較多
168600	170600	這件事情發生的時候已經快5點半
170600	172600	在這個快下班的時候
172600	173600	突然有人提議說
173600	175600	要來點個飲料
175600	177600	可能那個太輕鬆了
177600	179100	辦公室氣氛太放鬆了
179100	180600	不如來喝個下午茶好了
180600	181600	的那感覺
181600	182100	點飲料
182100	184100	他們那天點的是花茶大師
184100	185600	就是我本人提議的
185600	187100	就是你提議的是不是
187100	190100	我就那天突然很想喝其中某一個品項
190100	191600	那天我們就點了花茶大師
191600	193600	然後也沒有任何的問題
193600	195100	他沒有幫我點一杯
195100	197100	反正就是一個和樂的
197100	198600	日常的一件事
198600	199600	這個時候呢
199600	200600	產生一點小意外
200600	201600	就是啊
201600	202600	太多人點飲料
202600	203600	喔
203600	205600	所以那個外送一台車載不過來
205600	206600	他最後分了兩台
206600	207600	分了兩單來
207600	208600	所以呢
208600	210600	有一單是在這個六點之前
210600	212600	可能個五點五十左右
212600	213600	送到我們公司
213600	215600	另外一單就是變成六點之後
215600	216600	有一些人想說
216600	217600	下班了
217600	218600	我還在這邊等飲料
218600	219600	有點就是
219600	220600	有點尷尬
220600	221600	不知道在幹嘛
