start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30020	34380	都做得還不錯 但最主要的原則就是要符合小朋友的口味喜好
34380	38060	關於這點 我跟陳翠安從交往十幾年以來
38060	40620	不太有什麼爭執 爭執到吵架
40620	44480	就是在黃蓮夢出生之後 在做副食品的這段時間
44480	46300	不是 這很難搞喔
46300	47520	對 因為她媽媽滿挑食的
47520	50280	所以陳翠安開始做副食品 她也是煮寶寶粥
50280	54540	然後做了一些口味之後 黃蓮夢就不喜歡 我愛吃
54540	57000	她那個小寶寶她吃的分量很少
57000	57360	對
57360	59500	煮的時候沒有在那邊煮什麼15克
59500	59980	一餐兩餐
59980	63220	沒有在煮20克的粥 都是煮一大鍋
63220	66100	所以就剩下一大堆就是黃蓮夢不吃的寶寶粥
66100	69040	然後冰在那個冷凍庫裡面 又快把冷凍庫塞滿
69040	71880	因為你不管做什麼口味 她都不喜歡
71880	74040	產生一些爭執 就說你自己到底是要丟還是不丟
74040	76240	啊不吃我也沒有辦法 你自己不去做
76240	78460	你很厲害你去做啊 我說我不是這個意思啊
78460	79740	不是你冰著也沒有用啊
79740	81800	我就覺得很煩啊 我覺得你女兒找我麻煩
81800	83540	你現在也要來找我麻煩嗎
83540	84940	就很氣啊
84940	87480	就很氣 就是這樣
87480	89480	所以從那時候開始啊
89480	92200	我們就開始嘗試就是這種
92200	95200	欸 別人做好的
95200	96520	維護家庭的和諧
96520	97960	心理上也比較不會有負擔
97960	101960	因為是別人煮的 她不吃我也沒辦法這樣
101960	104080	就是我們家的兩個小孩
104080	107160	他們對於食物的喜好真的都滿明確的
107160	109640	所以那時候他就說 欸想要找我們來合作
109640	111240	我就說 呃 不會你先寄過來
111240	113080	你先給我們吃看 先吃再說
113080	113880	兇多吉少
113880	115480	對欸 我就說你先寄來
115480	118360	如果我們家吃了 欸他喜歡吃
118360	119480	那我們再來談後續
119480	120920	就分享嘛 對不對
120920	122280	所以大家現在聽到這個
122280	124120	喔 表示有同步考驗
124120	125000	沒錯
125000	126120	那像孟蒙呢
126120	127600	他們寄來就是很多品項裡面
127600	129760	孟蒙比較喜歡的是番茄類的東西
129760	130120	對
130120	132680	他其實有針對比較大薄薄一點的
132680	135480	像是燕麥番茄長文粥嘛
135480	137200	還有義大利番茄肉醬
137200	139200	欸 我覺得黃德默就特別喜歡吃就是
139200	140960	番茄肉醬 對
140960	143360	對 其實就是那種普通的小朋友啊
143360	146040	他們就喜歡吃薯條蘸番茄醬
146040	147040	對 但是我有吃過
147040	148360	他其實不是那種很甜的那種會讓媽媽單吃的那種
148360	150360	他其實不是那種很甜的那種會讓媽媽單吃的那種口味
150360	152200	喔 是一個有水果的滋味在裡面的感覺
152200	153720	喔 是一個有水果的滋味在裡面的感覺 對 蔬菜的味道的
153720	155520	所以你會滿放心給他們吃
155520	156960	然後像婆婆就是很明顯
156960	158200	對 魚類的粥
158200	159120	比較偏好 喔 比較正確
159120	161320	像是他們有一個鯛魚鮮酥
161320	162800	然後還有一個鱸魚軟黃
162800	164840	這兩款他們都很喜歡
164840	166400	然後每次加熱完
166400	167280	都很香欸
167280	168560	對 那個粥都很香欸
168560	170640	就忍不住會想要再給他之前說
170640	173080	媽媽幫你試一下有沒有很燙
173080	174720	然後吃個一口這樣子
174720	175320	欸 對
175320	176520	欸 我覺得即便是大人
176520	178120	你會吃到那個食材的味道
178120	179320	雖然他沒有加
179320	180400	沒有鹹味
180400	180800	對 你還是覺得
180800	182560	但是你會覺得他味道是很濃郁的
182560	183840	對 是好吃的
183840	185120	所以我就覺得好像不錯
185120	187360	可以來這邊跟大家分享一下
187360	188520	然後他們也有特別巧妙喔
188520	190800	他們的料是米的三倍
190800	191120	喔
191120	192320	所以你就會看到每一口
192320	193880	他裡面都有滿滿的料
193880	195080	所以寶寶就會很喜歡
195080	196240	像婆婆是一個
196240	198760	我覺得他在食物上滿判無聊的人
198760	200200	喔 換口感這樣
200200	200720	對對對
200720	202800	他滿快就不吃全白粥了
202800	203080	喔
203080	205920	一瞬間就開始要吃各式各樣的食物的人
205920	206480	對 我覺得就
206480	207600	還滿適合他的
207600	208880	然後裸廚房的產品呢
208880	210000	他們是專業營養師
210000	211960	為發育中的寶寶量身打造
211960	212880	然後全品項呢
212880	216520	都經過396項以上的營養額食品的檢驗喔
216520	218000	然後最好的是他可以
218000	219840	常溫保存
219840	221040	沒有錯
221040	222160	你如果要帶寶寶出門
222160	224520	你就會知道他的食物有多難攜帶
224520	225440	像我去金門
225440	225720	嗯
225720	226200	那時候會討論說
226200	227560	有可能帶妻婆去金門嗎
227560	228840	她已經沒要吃什麼 喝什麼
228840	229520	什麼之類的
229520	230360	怎麼可能
230360	231240	對吧 我們不能帶
231240	232360	就是一大堆冰塊出門嘛
232360	232920	對啊
232920	233240	對
233240	233840	後來就發現說
233840	235920	唉唷 其實有這個常溫寶寶粥可以帶
235920	237120	對 他們那時候是剛好
237120	239040	寄來要先給我們試吃的那一批
239040	240640	所以我們就全部帶過去
240640	242160	沒錯 然後放在行李箱裡
242160	244960	也不會讓行李箱裡面的其他東西沾到濕濕的
244960	246880	也沒有就是冷凍的困擾
246880	249520	所以我覺得會出攜帶非常的方便
249520	249880	最後呢
249880	252600	這瓶來這裡要提供好味聽眾的獨家優惠唷
252600	253080	現在呢
253080	255280	買寶寶粥或是調理包只要滿500元
255280	257720	就可以享有米果加價購買包99元
257720	258640	喔
258640	259560	有小孩的人就知道
259560	260960	他們的米果吃得有多兇
260960	261960	基本上就是主食啊
261960	263520	哈哈哈
263520	266320	就是他們為數不多可以吃的就是零食類啦
266320	267600	所以他們都很愛
267600	268440	那滿2000元呢
268440	271200	還會這種水羹原味豬肉鬆一包
271200	273800	喔 這是我們家蛋餅小朋友的最愛
273800	274520	有興趣的人呢
274520	276400	記得點開資訊欄進去看看喔
276400	278160	現在時間是6月25號
278160	281040	星期二凌晨1點36分
281040	283120	好 我們現在要恭喜由偉凡
283120	284280	終於完成了
284280	286080	蜜月旅行的任務
