start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束energetic
30000	60000	
60000	62040	那另外還有一個很有感的地方就是我覺得
62300	64860	吹頭髮的時候斷髮真的有變少
65120	67420	髮根處也很蓬鬆 推薦給大家喔
67680	70760	那這次益生司呢 他們在慶祝三八女王節
71000	72800	益生司全館三八折旗
73060	76380	還有另外給我們粉絲專屬的優惠喔 就是隱藏賣場
76640	78940	兩瓶洗髮機再送一瓶護髮唷
79200	84060	輸入優惠代碼LADYFLAVOR 再搶全館滿1200限則150元喔
84580	87400	好 現在時間是這個3月1號
87400	90220	凌晨1點54分
90480	91760	好 今天算提早路
92000	95080	我覺得比較早 算提早路 略早略早 因為今天冒冒比較早睡
95340	96360	好 但是老實說
96620	97640	往前面一點說
97900	101220	就是我們根本忘記有228連假這件事情
101480	103780	我知道這件事的時候是禮拜 大概禮拜四
104040	106080	我們簡直是發完了禮拜四的片
106340	107620	發完之後就問我們說 欸
107880	109920	你們那個下禮拜的片拍好了嗎
110180	110960	我說還沒啊
111200	113520	禮拜一再來拍就好了 這麼急
113760	114540	你們到禮拜一放假嗎
115560	116580	禮拜一為什麼放假
116840	117360	對
117660	118940	你要請特休嗎
119200	120480	沒有啊 禮拜一放假
120720	122000	原來有個228
122260	122780	連假
123040	123540	連假
123800	124560	所以呢
124820	126100	昨天228連假最後一天
126360	128660	我跟翠翠就帶了蓮夢去那個
128920	129940	飛牛牧場玩
130200	132000	對 飛牛牧場就是在苗栗的一個
132240	132760	像農場啊
133020	134040	反正就是一些牛啊
134300	136340	羊啊 小兔子啊 什麼的
136600	137880	蓮夢她現在剛好就是
138140	138900	看書的時候
139160	139920	她都已經認得出來
140180	140960	每一隻動物
141200	141720	的圖片
142480	143760	去帶她去看看真正的
144020	145300	就是牛羊長什麼樣子
145560	146840	我原本很怕她就是
147100	148880	一走進去看到那個假牛就暴哭
149140	149660	結果沒有欸
149920	151440	沒有 因為我哥哥的小孩
151960	152720	他就是也是
152980	154780	很喜歡看電視上的動物
155040	156060	然後我媽就很興奮
156320	158100	而且那時候他已經很大囉 大概兩三歲
158360	159900	我記得是已經很會走幼稚園了
160160	161940	然後他就很興奮的帶他去
162200	163220	也是去飛牛牧場
163480	164760	然後他就一進去
165020	166800	門口不是就有一個假的那個牛嗎
167060	169880	然後我媽就很興奮說來來來我們來跟牛牛拍照
170140	171680	然後他才靠近而已
171920	172960	我子女整個大暴哭欸
173200	174240	然後他就說他要回家
174740	176800	他才剛到就說他要回家
177100	179400	所以我很怕我們今天的行程會扼殺在門口
179660	181440	結果他還好欸
181700	182220	所以是
182480	185040	到底就是小孩會不會怕動物們啊
185540	186820	理論上 我看你搞不好懂欸
187080	187840	我覺得是
188100	190660	太大隻的話應該會有一點恐怖
190920	193480	阿像那個秋葵阿寶這麼大隻 算大隻嗎
193740	194500	我覺得算啊
194760	195780	他們倆很大隻欸
196040	197580	他至少是雷夢的三倍大吧
197840	198340	對啊
198600	199120	比雷夢還要高欸
199360	201420	他就是屁股一撞雷夢就倒掉那種欸
201680	203720	所以雷夢跟他們相處久了之後
203980	206800	好像對動物的體型大一點接受度比較高
207360	207860	喔
208120	209920	雷夢應該是真的比較不怕動物
210160	210680	好像是
210940	212480	就羊就跟秋葵一樣大阿
212720	213240	喔對啊
213500	214260	沒錯 那就沒什麼感覺
214520	215280	對就沒感覺
215540	216560	對羊比較親切
216820	217840	他會去摸羊的頭
218100	221180	他第一次看到牛的時候他可能覺得牛的頭真的有點太大
221440	222460	牛的頭真的很大
222720	224500	離他很近你知道嗎
224760	226040	他整個退後兩步
226300	227580	牛的頭真的是
227840	229620	我們今天去的時候剛好有一隻牛還在散步
229880	231160	就跑到狸巴旁邊
231680	232440	就在那邊吃草
232700	234740	我們就很興奮的帶雷夢靠很近
235000	236800	對就他只是在你面前吃草
237100	238380	但是壓力就很大
238880	239920	震懾感很大
240160	241200	他就在那邊吃草而已
241700	243240	頭超大一顆的
243500	244000	然後
245040	246060	我今天的感覺
246320	246820	就是那種
247080	248620	有狸巴的地方
248880	250160	牧場都有狸巴嘛
250400	251680	我覺得對家長不太友善
252200	252720	為什麼
252960	253480	你想想看喔
253740	255280	雷夢他是原本在地面上走
255520	258080	但是他的視線說會被狸巴擋住
258340	260900	所以你就要把他抱到一個半空中
261160	263720	要拎在空間空中的感覺
263980	264480	在狸巴的中間
264740	265520	狸巴可能有三層
265760	266800	你可能要把他拎到第二層
267100	268880	有時候一些羊啊什麼之類的
269140	270680	他的頭上上下下的
271200	271960	又要把他
272220	272720	抬上來
272980	274520	一直在負重深蹲
274780	276320	我覺得一直在做三階段深蹲
276560	277600	一直來回來來回回
277840	278620	很棒啊
279120	280400	很棒欸你這樣會瘦啦
280660	282200	總而言之今天一整天下來
282460	283220	我們回來的時候
283740	286300	開車從苗栗回來的時候真的覺得累個半死
286560	287060	累個半死
287320	288600	我已經心裡已經想好就是
288860	290140	回去就要直接洗洗睡了
290400	291920	我想說雷夢今天應該也很累
292180	293460	他馬上就會睡著
293720	296020	其實我在車上我跟雷夢都已經睡著了
296280	296800	然後他
297100	297600	他就突然說
297860	298380	欸陳帥陳帥陳帥
298640	299660	我就突然想到我
299920	300680	開車到門口
300940	302220	停在門口的時候
302480	304000	我就突然一個閃神說
304520	305540	大家應該都下班了
305800	306560	然後就覺得
306820	307600	為什麼會有這個想法
307840	310400	今天不是放假為什麼會有這個大家應該都下班的想法
310920	312960	我前一次裡面知道說今天其實是禮拜一
314500	315520	你不是以為今天禮拜日
315780	317580	是以為你知道今天禮拜一啊
317840	318600	然後他就一直跟我說
318860	319620	今天是禮拜一欸
319880	320900	然後我就說所以呢
321160	321920	然後他就跟我說
322180	323200	我們今天要錄podcast
325260	325760	嚇傻了
326020	326800	然後我就跟他說
327100	328640	可是我好想睡覺
328880	331200	不然以後我們更新改成放假後的兩天
333500	335040	放假後兩天不管
335280	336820	有多差廉價
338100	339900	比較健康一點
340920	341680	不管以後再說
341940	342460	總而言之
342720	343480	我們今天就是這樣
344000	344500	突然
344760	345780	知道自己要錄podcast
346040	347320	我們就明白的告訴大家
347580	348860	我們之前的podcast呢
349120	350640	準備的都不是很多
350900	353460	至少是由心理準備的狀態
353720	354740	所以我今天早上起床
355000	356800	我就開始想今天要錄什麼嘛
357100	358880	不一定想得到但是我至少知道
359140	361440	我今天要錄podcast有一個心理準備
361700	362980	這個心理準備通常都會有一個
363240	364000	七到八個小時
364260	369380	然後我們三個人會不停的就是有碰到面就會討論一下可以講什麼
369640	372200	今天的這個心理準備只有大概兩個多小時
372460	376800	其中有一個半小時我們還在就是把雷夢抓去洗澡跟睡覺
377060	377840	很忙碌
378080	380140	這段時間我還剪了今天要日常發的影片
380400	380900	對
381680	383200	腦子根本就沒有停下來想啊
383460	383980	焦頭爛額
384240	386020	所以我們現在根本不知道要講什麼
386280	388840	從零開始
389100	389860	從零開始
390120	392940	從零開始的時候呢我們就要拿出我們的這個
393440	393960	法寶
394720	396000	就是我們的國小作100題
398060	398820	第三題
399080	401120	第三題是這個
401380	402920	認識新朋友
403180	403940	非常有道理
404200	405220	一開始第一題是上學去
405480	405980	就去上學
406240	407780	然後第二題是老師說嘛
408300	409820	老師說了什麼重要事情
410080	411880	第三題就是在學校的
412140	412640	社交
413160	414700	交朋友這個階段
415200	415720	喔
416020	417040	可能是新朋友
417560	419100	你有沒有什麼要跟大家分享
419340	422420	我壓力好大
422680	423700	國小作文欸
423960	425240	國小作文只有40分
426260	427280	說實在國小作文
427800	429080	國小考作文嗎
429580	430100	不會考
430360	431640	但老師會叫你寫
431900	432400	對
432660	437020	就是國文課好像某一堂是作文課
437520	438040	有嗎
438300	439320	就國文老師心血來潮
439580	440340	今天沒有備課
440600	441360	今天是作文課
441620	442380	今天沒有備課
442640	445720	但是好像是我們小時候這樣現在好像有正規的作文課
446020	447040	我們小時候沒有
447300	448320	有寫作課的樣子
448580	451660	我印象是那種國小如果要寫作文好像是會發稿子
451900	453440	然後發回家當作業
453700	454980	作業叫你寫一個什麼
455240	457540	週末叫你回家寫個遊記
457800	459340	遊記算簡單的
459580	460100	哪有
460360	461380	遊記很難啊
461640	462660	遊記就寫流水帳啊
462920	465220	不行你要回家跟媽媽說要出門欸
465480	467020	就是像這種是突然給你一個
467260	467780	什麼
468040	468540	新朋友之類的
468800	469580	叫你回家寫
469820	472380	我印象中我有印象就是國小的時候
472900	473660	就是待在
473920	474700	書桌前面
474940	475720	看著稿子
476020	476780	然後把那個
477040	477820	標題寫上去嘛
478320	479600	標題要寫在中間嘛
480120	481400	空四格
481660	482420	空四格
482680	483180	寫在前面
483440	484720	是不是要括號
484980	485500	要上一號嗎
486260	487800	要上下一號
488060	489080	上一號兩格這樣
489340	489840	對嘛
490100	490620	然後
490860	491640	把標題寫好之後
491900	493420	就訂了那張作文稿子
493680	495980	你可以空兩格先寫你的班級跟姓名
496240	499060	班級寫在下面吧
499320	501360	寫在題目下面啊
501620	502900	反正這個寫好之後
503160	505200	然後我就在那邊想我印象中我就是從
505200	508020	六點然後看著那個稿子發呆到八點
508280	509800	好可憐喔
510060	511860	發呆的那個專注程度
512120	512880	認真到
513140	518000	就是我爸一直在經過嘛我爸就是三不止上樓下樓啊
518260	520560	看報紙啊什麼經過然後他搞到後面
521080	523120	因為我很認真他不想打擾我
523380	524920	那可能是我小二還小三吧
525160	526960	他可能沒有看過我這麼嚴重那麼認真
527220	528240	打擾我
528500	529000	然後一直到
529260	531320	八點多我還坐在那邊眉頭伸縮
531560	533100	然後我爸忍不住走過來看
533360	535160	然後就巴我頭說你一整個
535460	539560	就不知道要寫什麼啊
539800	540840	國小作文很容易這樣子
541080	541860	好像是耶
542120	543640	我一直作文開竅我還一直等到
544420	545700	我等到我很大欸
545960	546720	我等到國
547480	548000	二
548520	549800	你才作文開竅嗎
550040	551080	國三大概到國三
551320	552600	我覺得我在高中才開竅
552860	555940	你們現在這麼會說幹話但你們作文玩幾巴
556200	557480	我到國三的時候我才
557720	558760	發現
559000	559520	就是
559780	561820	我現在寫這篇作文
562080	563100	並沒有要得
563620	565160	諾貝爾獎
565460	569040	對我才發現就是我這個作文
569560	570320	卑微到
570580	571860	我拿去月娟老師看
572120	575180	月娟老師可能會用就是用速讀的方法把它讀過
575440	576200	也沒關係
576460	577240	然後只挑我的錯字
577480	579540	月娟老師可能心裡會有三個分數
579800	581080	那就三個分數加上
581320	582360	錯字的扣分
582600	583380	這樣子
583640	584400	覺得這樣就可以了
584660	587480	對月娟老師這個唯一會看過我作文的人
587720	589260	還有我自己本身
589520	593620	這篇文章都不會對我們兩個人的人生帶來任何的價值跟秘密
594120	595160	你太那麼
595460	596740	放棄了
597000	598020	我那時候想通了
598280	601340	想通了這是我現在寫這篇文章的價值就是這樣子
601600	602620	沒有人在乎這篇文章
602880	605180	基本上就屬於浪費一張紙
605440	606200	對
606460	607480	所以我就就就沒有壓力
607740	608520	我就盡量把我
608760	609800	盡量節省墨水
610820	611840	對了幾張紙就可以了
612100	612600	就是
612860	613640	不是對了幾張紙
613880	615680	這張紙已經注定要被電污了
615940	616700	節省點墨水
616960	619000	我不要浪費太多資源在這張紙上面
619260	620280	OK
620540	621820	盡量把那個版面排整齊
622080	623100	你知道嗎就是分四段嘛
623360	624900	每段的那個
624900	625920	量差不多
626440	627200	大概五行
627460	630540	對對對大概每個控制那個行數這樣子
630780	631560	這樣版面就好看
631820	633100	這有訣竅嗎
633600	634120	就是你
634620	636160	過行之後兩三個字
636420	637960	就可以換行就可以換下一段了
638220	640000	這樣整張稿子會看起來比較滿
640260	640780	對對對
641020	643580	比較均勻我覺得均勻感很重要
643840	645640	摸索出來就是那種如果說
646140	647180	有去論索文還幹嘛
647420	648960	一開始破題破得太大力
649220	650760	第一段操場
651020	652540	不是第一段操場第一段操場就算了
652800	654340	第一段坑腔有力
654600	654860	直接
655160	655660	開門見山嘛
655920	657460	坑腔有力寫完一句
657720	658740	置地有聲的話之後
659000	659500	就沒話說了
659760	660780	你第一段只有兩行
662580	663100	然後你之後
663340	664620	第二段你要開始解釋這件事情
664880	665400	就熱熱的等
666680	667440	那個版面不好看
668220	669500	我要講的重點是版面不好看
669740	671020	你那個前面一兩句
671280	672820	很重視排版
673080	674860	這不愧是後來當設計社人的
675120	677180	反正是版面不好看你會讓人家覺得說那個
677420	678460	就不是那個四等分
678700	679220	你知道嗎
679480	680500	感覺沒有精心安排
680760	682300	我覺得這個是得分的重要關鍵
682800	683320	是嗎
683580	684860	想說老師就一直說他什麼奇蹟
685160	686180	起承轉合
686440	688480	不是那個老師改幾百份那個文章
688740	691040	他一看到第一份排版心理不舒服他就
691820	693860	分數直接往下打了
694120	694880	皺著眉看
695140	695660	皺著眉看
695900	697700	哇這個分段怎麼這麼不均勻
698720	700000	就是跟你字醜不醜一樣的道理
700520	702820	真的字好看聽說是蠻重要的
703080	704620	當然啊你看改那麼多份作文
705120	706920	突然看到字看不懂的
707180	708460	頭痛
708700	711520	我其實我好像也是國中的時候才比較開竅
711780	714080	因為我國中要花很多時間幫我哥寫作文
714340	714860	蛤
715160	717200	我所有的作文都要寫兩份
717980	719500	就是我哥高中的時候很混
719760	722060	然後他暑假的時候快要結束的時候他就跟我說
722580	723100	妹
723340	724620	我還差兩份作文
724880	726160	你可不可以救救我
726420	726940	果分了吧
727180	728720	我會用零用錢換
728980	729500	喔用零用錢換
729740	731020	有稿費就對了
731280	732060	對有稿費
732300	733580	那就還可以
733840	736660	我國中發現這個賺外快方式之後
736920	740240	因為我國小的時候我們那個金門的學校寫字帖
740500	742040	就是要寫那個書法字帖
742300	744860	我不知道為什麼但是就是小三以上的都要寫字帖
745160	747460	所以我不用寫我哥要寫
747720	749000	就是我在那裡的時候
749260	751040	我哥那時候好像是小五小六吧
751300	752320	所以他要寫字帖
752580	753860	然後他就回來就跟我說
754120	754880	妹你看哥
755140	757180	就是拿到新的東西學校發的
757440	758720	第一年級都沒有喔
758980	759740	他就這樣跟我講
760000	761540	我說喔好酷喔是什麼什麼
761800	763580	他說你看我們可以寫書法
764360	765640	你長大以後你才可以寫
765900	766920	但是沒關係
767180	768960	哥哥先讓你寫寫看
769220	772300	好叛逆喔好叛逆喔好成熟喔
772540	774340	我就說大家都沒寫過欸
775160	776180	你有沒有賺過我一積分
776440	777460	我先讓你算算看
778740	781300	這個好禁忌喔
781560	782580	大學生才玩得起的
784120	786160	然後我就寫了一次然後就發現
786420	788220	我哥好像發現我的字還可以
788720	790000	因為他字很醜
790260	792560	然後雖然我的字看起來年紀比較小
792820	795120	但是看起來好像跟他寫出來的可能
795380	796400	可以想像
796660	797940	他覺得老師不會發現
798200	803320	寫書法是一個bug欸寫書法字體跟你寫硬幣的字的字體是完全不一樣
803580	804860	所以是分不出來的
805160	806700	對所以老師就沒有發現
806940	809500	他其實小五小六所有字體都是我寫的
810780	814620	這件事情一直到我自己也要寫字體之後我才發現我被騙
814880	818220	我才發現一點都沒有什麼
818460	820000	關於這個書法比賽
820520	822060	我有個訣竅
822560	825900	因為我小時候寫字不好看
826140	832300	所以我媽就聽信了就是我隔壁的鄰居媽媽的殘眼
832540	834600	跟他說你送小孩學寫書法
835160	836940	字就會變好看
837200	838480	我就被送去學嘛
838740	840780	寫書法大概前一個禮拜都在學那個
841040	842580	用毛筆畫一隻
843100	843860	什麼 蝸牛
844620	845400	蝸牛
845660	846160	九宮格嘛
846420	847960	你就在那邊畫一隻蝸牛
848220	849500	就是畫那個
849740	851020	像炫露一樣的東西
851280	854100	一直畫就是練那個拿筆的穩定度啊
854360	856660	一樣粗細這樣
856920	858460	你要控制粗細的大小
858700	860240	就寫的東西
860500	861260	好像很正規
861520	862800	很正規要正規訓練啊
863060	864860	我們都是拿一堆勇字讓我們寫的
865160	869500	就在那邊點啊納啊一橫啊什麼的
869760	872060	我都把那個每個框框塗黑了
872320	872840	我也是
873100	875400	我都把苗紅底塗黑
875660	877180	好然後就是先做這件事情
877440	878460	做完之後就開始
878720	880260	就是像你們說的寫一種字嘛
880520	882820	我那種書法教室是使用一個填鴉式的教學
883340	884620	反正就是寫報就對了
884860	886400	寫報就是發一本字帖給你
886660	888200	就一直寫一直寫一直寫一直寫
888460	891520	字帖是說以前人寫過的字然後你照著寫這樣子
891780	893060	字帖就是
893320	894860	字帖就像寫字本一樣
895120	895620	我知道
896400	897160	字帖就是
897420	897940	好幸福喔
898180	898960	你好幸福喔
899220	901000	不知道怎麼開篇解釋字帖
901260	902800	他就跟習字本很像啊
903060	904080	是書法版的這樣
904340	905860	然後每一個字他都有那個九宮格
906120	906640	對
906900	908180	就照著那個九宮格的布局
908420	909700	寫的跟那個字帖越像越好
909960	912020	然後第一個也會幫你寫筆順這樣子
913800	914320	哇塞
914580	916620	因為他是不是過日過太爽了吧你們
916880	918160	我們是這種半路出家
918420	920200	我媽就不曉得從來買到一個那個印章
920460	921740	一個勇字印章
922000	924040	格子然後開始試那個日曆紙
924300	924820	然後就把那個
