start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 훨
30000	31560	各種季節都能穿喔
31560	33240	鞋款簡約利落很百搭
33240	35000	還通過了歐洲第三方認證
35000	37360	製程與材料皆友善動物與環境
37360	39500	這次最新的HELLO清亮系列
39500	40700	輕薄又服貼
40700	43700	讓你整個夏天雙腳維持乾爽透氣
43700	44640	這一次呢
44640	47560	其實是我還沒有看到這封邀約信的時候
47560	49440	我們的小企劃助理就跟我說
49440	51260	喔 老大已經說他要接了這樣
51260	53060	對啊 因為前一陣子一直下大雨啊
53060	53560	對
53560	55640	我之前都是在那種像H&M那種地方
55640	57340	對 對 保證一次買很多一模一樣的鞋子
57340	59060	對 我們家大概有五雙一模一樣的鞋子
59060	61860	我上一批又全部買了一雙就是
61860	63560	欸 表面上是 白色編織嗎
63560	64660	對 紙很透細
64660	65860	上面都是洞洞的那種鞋子
65860	66420	喔 對 對 對
66420	67560	好不適合雨天穿喔
67560	68460	對
68460	69520	那個鞋子就很便宜嘛
69520	69860	嗯
69860	71060	這位妹我只很認真在手
71060	72420	就是把它當拖鞋一樣散落在
72420	74260	時不時會被阿寶咬來咬去這樣
74260	75720	對 丟在室外這樣子
75720	77320	然後連續下了幾天雨之後呢
77320	78720	那個鞋子就是變成一副
78720	80060	鹹菜布嗎
80060	80820	欸 對
80820	82200	反正一眼就可以看得出來
82200	83460	已經是垃圾化的狀態
83460	85360	哈哈哈哈
85360	87660	就是你無法界定它是應該要被丟掉
87660	88460	還是正
88460	89720	就是被阿寶咬到那裡去
89720	90960	就是就是說它下雨
90960	92560	然後太陽出來的時候會被曬乾
92560	93820	然後很多沙子啊什麼的
93820	94420	就是它已經
94420	96300	有點像是被僵過的一雙鞋
96300	97260	有點化石化了
97260	97760	沒錯
97760	98360	喔
98360	98560	對
98560	100560	硬硬灰灰髒髒的這樣
100560	102120	反正就那一陣子我就是發現說
102120	103920	欸 我所有鞋子都是全軍覆沒
103920	104320	沒錯
104320	105260	我就是出門
105260	106760	就算我今天要去參加一個
106760	107960	喔 很嚴肅的那種
107960	108720	頒獎典禮
108720	109300	對 對 對
109300	111120	我就 我就只有拖鞋可以穿
111120	112100	而且還是
112100	113300	而且還是那種
113300	114400	很奇怪的那種
114400	116360	喔 不是那種帥氣的夾腳拖鞋喔
116360	117100	不是
117100	117660	是那種
117660	120200	具體來說就是在旅遊今天買的那種拖鞋
120200	120900	喔 對 對 對
120900	121500	觀光拖鞋
121500	122200	觀光拖鞋
122200	122900	對
