start	end	text
0	8740	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8740	9540	我是翠翠
9540	10720	大家好 我是阿段
10720	11580	大家好 我是林聖凡
11580	13540	好 我們今天要歡迎傳傳
13540	15340	龍龜故里
15340	16840	耶 我終於回來了
16840	19740	回來一切都塵埃落地了 感覺真好
19740	21520	好 我們這集是非常特別的一集
21520	21880	沒錯
21880	23600	這個特別是因為我跟宥偉煩啊
23600	25040	特別的疲倦
25040	25680	特別
25680	27120	特別的疲倦
27120	30920	對 為什麼你們出門 結果會變成這個樣子
30920	31460	為什麼
31460	32820	死掉未及
32820	35360	大家一定以為我今天要來講我們環島的經歷
35360	37560	沒有 他環島的經歷 我們就是明天再說
37560	39900	先緩緩
39900	42100	先跟大家講到底發生了什麼事情
42100	43880	首先呢 要前行提要一下
43880	45540	這個很長啊 這個故事
45540	47140	就是末月給我半年前
47140	47540	對
47540	48180	宥偉煩發現
48180	49280	好久以前
49280	50820	差不多啊 差不多啊
50820	52880	就宥偉煩發現說他老婆懷孕了
52880	53320	對
53320	55180	就是預計一年後會有一個新的小孩
55180	55720	對
55720	57120	這個時候我們稍微盤點了一下
57120	58360	家裡的這個空間
58360	58880	是
58880	60080	還發現說完蛋了
60080	61120	完蛋了 洗包
61120	62000	空間不夠用
62000	62700	沒錯
62700	64860	對 所以說我們勢必要在我們現在的家庭裡面
64860	66060	生一個新空間出來
66060	66760	是
66760	68300	然後呢 我們在想很多方案
68300	68700	嗯
68700	69740	想很多不同的方法
69740	71600	比如說就是又要把他們搬出去啊
71600	72240	幹嘛的啊
72240	74000	自己帶了蛋捲出去住之類的
74000	76540	對啊 然後每天跟蛋捲一起通勤來上班
76540	78100	蛋捲不行 蛋捲這樣太辛苦了
78100	79180	對 蛋捲
79180	81320	這樣感覺蛋捲每天都要跑來跑去的
81320	82740	蛋捲太辛苦了 不行
82740	83680	對 所以
83680	85480	沒辦法 我們最後決定我們要來
85480	86720	擴建我們的
86720	87760	現在住的這個地方
87760	88280	對
88280	89260	然後我們住的這個地方呢
89260	90260	其實有點特別
90260	90760	嗯
90760	92400	對 我們有點像是一個
92400	94100	很大間的像一種攝影棚
94100	94460	嗯
94460	95520	的那種感覺 就是
95520	97340	像工廠模工廠一樣
97340	98300	但是我們就是
98300	99700	想把裡面打造成一個攝影棚
99700	100740	我們就住在
100740	102240	攝影棚裡面的那個感覺
102240	103540	要出門的感覺
103540	105040	嘿 對 就是那個感覺
105040	106740	每個房間都不好拍攝這樣子
106740	107280	對
107280	108980	然後其實我們這邊是有
108980	110480	二樓的那個空間的
110480	110940	嘿
110940	112380	但是當初我們想說
112380	114820	說不定我們很快就失敗就放棄了
114820	115280	對
115280	116320	所以我們就並沒有去佈置
116320	116720	二樓的空間
116720	117360	嗯
117360	118980	我們的沒有佈置是連那種
118980	120460	連通往二樓的樓梯都沒有
120460	121060	都沒有
121060	121820	都沒有的那種
121820	122760	上不去的那種
122760	123700	嘿 沒錯
123700	124400	那現在想說
124400	125720	哇 那我們要想辦法
125720	127460	把二樓的空間利用起來
127460	128600	對 騰出來
128600	129300	對 所以說
129300	131100	就變成說要裝個新的樓梯
131100	131440	嗯
131440	132900	然後新的隔間什麼的
132900	133400	總而言之呢
133400	134640	我們半年前就有計畫
134640	135000	嗯
135000	136880	我們要來把這個我們的
136880	138480	生活空間做一個大改造
138480	139100	對 對 對
139100	140220	這感覺半年就開始計畫了
140220	140980	嗯 很久
140980	142120	規模很套大
142120	142520	嗯
142520	144780	有很多原本的隔間牆什麼都要拆掉
144780	145220	對
145220	146720	然後整個房子就變工地
146720	149320	對 它現在看起來超恐怖的
149320	151220	然後這件事情就一直在規劃的階段
151220	151720	嗯
151720	152820	就是跟設計討論
152820	154020	然後看圖 看圖這樣子
154020	154620	對 對 對
154620	155900	然後突然
