start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束munition
30000	60000	
60000	77140	現在時間2月22日星期二凌晨2點50分
77140	77580	嘿
77580	80080	好 現在一直持續的在下雨
80080	81580	對 真的好大
81580	84920	所以大家應該會聽到我們那個講話後面有個像底罩一樣
84920	85580	沙沙沙的聲音
85580	86560	摩擦聲的感覺
86560	88780	對 我們覺得他今天晚上應該是停不下來了
88780	89160	對
89160	90900	所以大家就
90900	93040	為了大家明天還是有podcast可以聽
93040	93920	好 忍住
93920	94800	大家忍住
94800	96240	好 忍住
96240	98240	好 今天這一集呢很特殊
98240	99840	沒錯 這一集是完全由翠翠主導
99840	101040	你不要這樣講我壓力好大
101040	102440	獨排綜藝
102440	103340	哇 獨排綜藝
103340	105940	他一定要講這個主題 非常不可
105940	108420	不是我覺得算是有點小小自肥
108420	109440	因為這個東西呢
109440	112220	我等一下講大家所有女生就很有感
112220	114320	或者是對這件事情感興趣的人就很有感
114320	117900	你的另外一半通常都不想跟你一起進行
117900	118860	我被拒絕了
118860	119500	無數次
119500	122460	哇 可怕 我需要先離席了
122460	123260	蛤 你覺得是什麼
123260	125060	通常都不想跟你一起進行
125060	125940	沒錯
125940	127040	我說的很中肯吧
127040	127940	蠻中肯的
127940	128980	今天老婆突然叫你說
128980	130380	欸欸欸你過來
130380	131640	你就會說我不要
131640	132480	你就會說蛤
132480	134380	我沒有興趣
134380	135740	拍婚紗
135740	139520	蛤 你竟然對他
139520	141580	拍婚紗確實是滿足這個條件
141580	142920	但是這件事沒有這麼特殊
142920	144020	沒有一生一次那種
144020	144920	是那種
144920	145360	他
145360	146620	時不時就會來一下
146620	148220	麻煩是在時不時會來一下
148220	148700	對 時不時啊
148700	149260	時不時會來一下
149260	150400	而且還會初步棘訪
150400	152740	對 然後就是他可能滑手機滑一滑
152740	154900	突然就叫你過來一起跟他進行這件事情
154900	155500	對
155500	157580	然後你會有時候你會覺得說他可能
157580	160140	會藏一些陷阱在那邊偶爾雷擰一下
160140	161740	好像想要找你麻煩這樣
161740	162940	好像想要找架草
162940	163540	那你覺得是什麼
163540	165280	你幫我來看一下哪一件衣服好
167380	168620	也符合這個條件
168620	169660	對 也有一點欸
169660	171520	但是他的他沒有這麼實在
171520	172060	沒有這麼實在
172060	173000	哪有
173000	173760	我覺得也不錯啊
173760	174860	買衣服就是買衣服嘛
174860	175660	可是我覺得這個活動
175660	176860	你就好好的得到了衣服
176860	177160	不會
177160	178300	但是是一個很空泛的
178700	179940	這件都不適合怎麼辦
181200	182140	常常有這種情況啊
183740	185180	我覺得買衣服有點香
185180	186400	但又不太像
186400	187600	或許也是這個
189620	191080	這個要討論的范畴之一
191080	192540	有可能
192540	193540	到底是什麼啊
194580	195780	好 我們要來揭曉了嗎
195780	196280	你不揭曉了嗎
196280	197020	我覺得差不多
197020	197820	我覺得能猜的
197820	198860	能想像得到的差不多
198860	199960	很空泛的
199960	200660	沒有
200660	202900	基本上屬於
202900	204700	一點意義都沒有的浪費時間
204700	205460	沒有
205460	207220	我認真想過了
207220	208000	就是
208000	208700	我覺得
208700	210400	做得好的話
210400	213200	應該對兩個人彼此的關係會
213200	214080	小有進展
214080	215200	沒有 胡扯
215200	217580	從頭到尾
217580	219980	這一件事情從頭到尾就是胡扯
