start	end	text
0	8680	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
8680	9160	我是翠翠
9160	10180	大家好 我是阿端
10180	10880	大家好 我是天生凡
10880	12320	本集有預錄的廣告
12320	15560	本集節目由阿嬤的配方贊助播出
15560	18260	我們這次收到他們的邀請來信的時候
18260	23160	突然去年老婆若生火出洗腳水那個記憶湧現
23160	24480	手都痠起來了
24480	28940	我現在想起來好像真的覺得是很久很久以前的事了
28940	29700	確實蠻久的
29700	34180	那你知道大家知道我現在大概孕期的8個月大左右
34180	37100	其實很多孕婦會在這個時候很容易水腫
37100	37840	其實你也有一點
37840	39420	我也有一點 就是走路走久了
39420	41380	你會覺得腳有點脹脹的這樣
41380	42680	喔 有時候會腫很嚴重欸
42680	45220	走到那個腳就是戳下去之後會有個洞
45220	46180	然後扶不起來這樣
46180	49180	就是很慢很慢這樣子那個感覺
49180	50580	對 就是循環不好
50580	52420	或是你很容易情緒起伏比較大
52420	54020	因為你往上睡不好
54020	55100	精神就不好嘛
55100	57820	身體不舒服的時候就不開心嘛
57820	59260	所以其實這個時候呢
59260	59700	泡個腳
59700	62540	可以解決上述大概9成的問題
62540	63300	超適合
63300	65180	對 就是消水腫會很有效
65180	67000	然後尤其是像你在心情不好的時候
67000	68680	你泡腳也會覺得很舒服
68680	69440	療癒的感覺
69440	70820	對 療癒的感覺
70820	72040	所以除了懷孕之外
72040	73620	還有像是酒站
73620	74840	酒座的上班族
74840	76460	服務業 老師
76460	78920	我覺得應該也都是蠻適合泡腳這個族群的
78920	80520	哇 你們全部重疊好猛喔
80520	81580	欸 真的欸
81580	82720	高周數的孕婦
82720	83160	對啊
83160	84000	平常都不太運動
84000	85860	對
85860	86620	輸的就是我
86620	87720	對
87720	89500	那這個是他們要介紹的這個
89500	90460	木竹袋呢
90460	93740	其實就是在使用上跟收納上都非常的方便
93740	95480	這個之前我們在影片裡面也有稍微講過
95480	96100	沒錯沒錯
96100	97200	對 那你泡腳的時候
97200	98440	你就是順便敷個臉
98440	98940	嗯
98940	101020	10分鐘上下一起保養
101020	102120	非常的秋
102120	103020	那它的高度呢
103020	104580	大概是42公分加高
104580	106020	就是一個不對稱的桶身
106020	108060	所以你的腳腳不管多長的高度
108060	110180	都可以完整的泡在裡面這樣子
110180	111020	嘿 然後還有一個是
111020	112460	八重加厚保暖結構
112460	113860	可以保溫30分鐘
113860	115400	所以你就算是冬天
115400	117200	水溫也不會很快就涼掉
117200	118200	然後再來就是他們還有一個
118200	119000	獨家設計的
119000	119500	鵝卵式
119500	121460	的那個足底按摩板
121460	122600	喔 放在底下
122600	123100	對對對
123100	123800	所以你泡腳的時候
123800	124940	就在那邊踩踩踩踩踩
124940	126040	就可以按摩穴道
126040	126500	喔唷
126500	128040	哇 好適合老人喔
128040	130120	適合我們兩個喔
130120	130720	對
130720	131220	那另外呢
131220	133240	他們還有推薦他們兩款的足浴鹽呢
133240	135040	分別是漫步輕盈足浴鹽
135040	136720	推薦給水腫困擾的人
136720	137620	或是孕媽咪嘿
137620	139120	就是像我這樣子的人
139120	139420	嗯
139420	140120	那另外一個呢
140120	142080	叫甜靜好眠足浴鹽
142080	143620	推薦給生活緊張
143620	143960	喔
143960	145920	那孕媽咪可能就比較不建議使用了
145920	148200	可能它的味道比較不適合這樣子
148200	150100	我覺得我們使用了大概一年多以來
150100	150600	對
150600	151540	我還是一樣
151540	151700	怎樣
151700	152500	再次強調
152500	153500	它最完美的部分
153500	154600	就是它藏得起來
154600	155800	哈哈哈
155800	157300	尤其是你討厭凌亂的人
157300	157640	沒錯
157640	160520	它也藏在各種就是家庭的這種小角落裡面
160520	161080	對
161080	163020	曾經有過大大小小的
163020	163940	各種的那種
163940	164580	泡腳桶
164580	165320	泡腳桶
165320	167260	最後都因為他看不順眼把他丟掉
167260	168960	就是放在那邊
168960	169780	超定位
169780	170620	因為他沒辦法收
170620	171300	在浴室裡面
171300	172620	然後藏到是潮濕狀態
172620	172960	對
172960	174260	發霉之後你也不想用
174260	174560	對
174560	175700	就被人家那邊變個垃圾
175700	177460	哈哈哈
177460	177860	超痛
177860	178660	養骨場
178660	179620	養骨場
179620	180360	對
180360	181120	嗨
181120	182040	就是這樣啦好不好
182040	183000	推薦給大家啦
183000	183940	很方便啦
183940	184500	那最後呢
184500	186100	他們也有優惠活動的部分喔
186100	188040	就是你的桑拿木竹袋呢
188040	189800	現正特價中
189800	190100	嗯
190100	192440	兩款竹芋圓加上一個木竹袋
192440	193340	一起帶回家
193340	195080	可享組合價77折
195080	197940	在家就可以輕鬆享受舒爽的竹芋
197940	198680	那下單的時候
198680	200980	記得要輸我們家的專屬優惠折扣碼
200980	203260	叫做LADY2023
203260	203520	哦
203520	204460	結帳滿1200的時候
204460	206120	他就再幫你折50塊唷
206120	206980	詳細的活動資訊
206980	207860	我們放在資訊欄裡面
207860	209200	大家記得點開來看看唷
209900	211500	現在時間4月18日
211500	213300	凌晨2點35分
213300	214300	嗯
214300	215100	好這集一開始
215100	217440	我帶著滿腔的怒火來講一件事情
217440	218100	滿腔的怒火
218100	219580	滿腔的怒火很氣
219580	219940	我氣
219940	220680	有夠氣
220680	221840	你沒辦法想像我多氣
222380	222740	欸
222740	223200	昨天啊
223200	224380	昨天那個晚上
224380	224940	嗯
224940	225720	大概
225720	227140	欸吃晚餐時間喔
227140	228220	就是這個更討厭
228220	228620	嗯
228620	229480	在吃晚餐的時候
229480	231280	我們大概吃晚餐7點半8點的時候
231280	231760	對
231760	233420	我一走出家門
233420	234120	哦
234120	235460	欸一走出家門
