start	end	text
0	2000	每次都要卡住
2000	4000	我講到第十次就會超順的
4000	6000	大家好 我是翠翠
6000	8000	大家好 我是剪輯師阿斷
8000	10000	大家好 我是我很煩
10000	12000	就是我們上一次的那個Podcast播出之後的隔天
12000	14000	那個Podcast的那個排名更新真的超級慢
14000	16000	超級不習慣
16000	18000	他不是一個即時感的對不對
18000	20000	他不是一個即時感的
20000	22000	他不是一個即時感的
22000	24000	他不是一個即時感的
24000	26000	他不是一個即時感的
26000	28000	他不是一個即時感的
28000	30000	他不是一個即時感的對不對
30000	32000	他好像大概會兩到三天才反應出來
32000	34000	他好像大概會兩到三天才反應出來
34000	36000	對 所以我們就發了之後覺得說好像沒什麼動靜
36000	38000	就放著 然後某一天去看的時候
38000	40000	突然我們變成第五名
40000	42000	嚇死我了 拍拍手
42000	44000	感謝大家
44000	46000	然後就是連帶了 帶出了一件事情
46000	48000	就是我們看到我們有那個
48000	50000	三百多則評論
50000	52000	他上面是寫評價的樣子
52000	54000	評價
54000	56000	五星好評
56000	58000	現在是五顆星嘛 重點不是這個
58000	60000	有三百多個評價
60000	62000	然後我們就點那個全部評價
62000	64000	打開來之後發現
64000	66000	好像只有幾十折
66000	68000	四五十折啦
68000	70000	我們想說欸 這真的沒有辦法顯示清楚嗎
70000	72000	開始去爬文 到處爬
72000	74000	攝影師都想到各種方法
74000	76000	然後上遍國內外各大網站去看到
76000	78000	要怎麼樣才能看到全部的評論
78000	80000	最後才發現說那個三百多則評價
80000	82000	是表示五顆星
82000	84000	跟那個評論是分開的
84000	86000	很多人按了五星的時候但是沒有留言
86000	88000	所以那時候評價沒有評論
88000	90000	我們都是被YouTube跟臉書養壞了
90000	92000	對大概這種感覺
92000	94000	其實大家給我們留言很少
94000	96000	我們以後有三百多則
96000	98000	所以我們就決定要想一個辦法讓大家留言
98000	100000	有點悲傷 所以我們決定
100000	102000	不然我們下一集想要來聊聊
102000	104000	關於就是主管之類的事情
104000	106000	因為我們三個其實有點像是
106000	108000	老闆 比較偏管理階層
108000	110000	反正我們的節目就是有一點
110000	112000	就是閒聊嘛
112000	114000	紓壓感
114000	116000	大家就留一些對老闆或主管的抱怨好了
116000	118000	然後我們
118000	120000	下一集就來聊一下
120000	122000	大家都遇到什麼樣的討人厭的老闆
122000	124000	所以我們可以幫你們老闆說些話
124000	126000	對就是這個感覺
126000	128000	然後呢也還是很多人提到
128000	130000	有關那個回應的問題
130000	132000	這個回應我們這次做了一個
132000	134000	我們對我們的這個工作室
134000	136000	做了一個大幅的改善
136000	138000	我們重新的粉刷了牆壁
138000	140000	完全沒有意義
140000	142000	所以說我們現在呢
142000	144000	想要解決這個回應的問題
144000	146000	我們擺了一排椅子
146000	148000	把我們錄影的地方圍起來
148000	150000	超像有奇怪的人坐在上面
150000	152000	透明人
152000	154000	我們現在就像是有一排隱形的面試官在看著我們一樣
154000	156000	簡單說就是把
156000	158000	錄影的地方弄得很亂這樣
158000	160000	希望他可以吸一點音
160000	162000	如果說真的有改善的話
162000	164000	我們就慢慢把工作室變成儲藏室
164000	166000	就會解決這個問題
166000	168000	今天我們要來聊一個非常嚴肅的話題
168000	170000	也是
170000	172000	就是在留言裡面大家有提到
172000	174000	你知道今天要聊什麼嗎
174000	176000	我不知道
176000	178000	我們都沒有人告訴他
178000	180000	有人提到說
180000	182000	我們昨天上一集有聊到
182000	184000	導航容易吵架
184000	186000	就很多人說
186000	188000	情侶出去玩也很容易吵架
188000	190000	好像說蜜月很容易分手
190000	192000	好像是
192000	194000	如果從來沒有出去玩過的話蜜月很容易分手
194000	196000	第一次出國就很容易分手
196000	198000	還好我們都沒有辦法去蜜月
198000	200000	度過了一個危機
200000	202000	這更值得吵架吧
202000	204000	全身都在惱火
204000	206000	討厭死了
