start	end	text
0	8000	哈囉 大家好 歡迎來到好味小姐開束
8000	10000	我還你原型 我是春藍
10000	11000	什麼東西啊
11000	12000	我是翠翠
12000	13000	太揪一下梗了
13000	15000	哪有 三一集是梗啊
15000	17000	沒有 因為太多人留言到問我說
17000	19000	蛤 所以翠翠的本名真的是叫春藍嗎
19000	21000	那是哪個春哪個藍
21000	22000	真的假的
22000	24000	真的 真的 真的
24000	27000	然後我就在底下說不是這個春也不是這個藍
27000	29000	我還以為那只是就是大家覺得好笑
29000	31000	好笑的點是在於大家覺得說
31000	33000	啊 怎麼會有人聽錯聽得這麼離譜
33000	36000	結果大家是真的聽不出我們平常是叫你什麼名字喔
36000	38000	對 沒錯
38000	40000	我是翠翠 我不是春藍
40000	41000	那就春藍好了
41000	42000	我不要
42000	44000	好 我剪一下 到時間是很煩
44000	45000	好 今天沒有業配
45000	49000	但是我們今天呢有一個公益的活動想來跟大家分享一下
49000	52000	就是台灣之星愛護動物協會
52000	54000	他們有那個冬季義賣
54000	56000	其實大家應該很常在我們頻道聽到他們
56000	59000	上次那個狗媽媽跟四隻小狗
59000	61000	幫我們抓狗媽媽就是他們
61000	62000	對對對
62000	65000	所以他們每年義賣活動我們都會來跟大家分享一下
65000	67000	那就是即日起呢到1月16號
67000	68000	大家可以搜尋台灣之星
68000	70000	然後就可以找到他們的義賣官網
70000	73000	我覺得他們每年的東西都非常的有
73000	74000	怎麼說呢
74000	76000	非常的有誠意又很可愛
76000	77000	喔 對
77000	78000	就是很好看
78000	79000	雖然是義賣品
79000	81000	但是不管設計啊還是說那個
81000	82000	質感
82000	84000	然後他們有些印花都蠻可愛蠻漂亮的
84000	87000	對 然後他們找的插畫家我覺得都也還不錯
87000	89000	然後像是往常都一定會有的
89000	91000	今年也有就是春聯跟紅包袋
91000	92000	對
92000	94000	我送給我們家小孩都是他們的紅包袋
94000	95000	對
95000	97000	很好用小孩都很喜歡
97000	100000	然後他們今年比較特別是有新增一些去年沒有的品項
100000	102000	然後我自己還蠻想要的
102000	104000	聽說他會寄公關品給我們
104000	107000	就是漁夫帽還有口罩
107000	109000	我很想到漁夫帽耶
109000	110000	漁夫帽幹嘛
110000	111000	就是流行啊
111000	112000	漁夫帽流行嗎
112000	113000	對啊
113000	116000	漁夫帽不是已經在我小時候流行過了嗎
116000	118000	這陣子大家開始露營釣魚吧
118000	119000	喔
119000	120000	有啦
120000	121000	不能出國之後
121000	122000	我小時候好像也是流行過露營
122000	123000	對對對
123000	125000	所以是跟著露營一起的
125000	126000	我覺得有點道理啊
126000	128000	所以露營大概20年會流行一次
128000	129000	差不多
129000	130000	可能之前遇到疫情
130000	131000	對你不能出門
131000	132000	喔
132000	136000	那大概5年之後大家就會發現說其實住飯店更舒服
137000	139000	會開始中間還有一個小木屋
139000	141000	喔小木屋的階段
141000	142000	大家好好把握
142000	144000	喜歡露營的時候
144000	146000	所以今年有這些新增的品項
146000	148000	我覺得也很好看
148000	149000	所以建議大家可以搜尋一下
149000	151000	然後去他們的官網看他們今年的義賣
151000	153000	然後可以盡一份心力
153000	154000	幫助浪浪接招
154000	157000	好今天呢是這個12月27號
157000	158000	已經接近28號了
158000	161000	對我們今天在凌晨之前就開始錄了
161000	162000	喔對今天超級早
162000	164000	因為麻津有許願
164000	166000	我們今天說你們不要太晚錄喔
166000	167000	好像麻鬼邪
167000	168000	像之前啊
168000	171000	如果說我們說今天晚上錄Podcast
171000	173000	我媽就會心甘情願的帶雷夢
173000	175000	我們吃完晚餐之後呢
175000	176000	我們就會先
176000	177000	耍廢
177000	178000	休息一下
178000	179000	沒有喔媽
179000	181000	我都很認真在看留言喔
181000	182000	休息一下
182000	183000	小睡一下
183000	184000	養足精神
184000	185000	那我們再開始錄
185000	186000	沒錯
186000	187000	所以我媽常常
187000	188000	就是比如說凌晨一點
188000	189000	然後傳訊息問我說
189000	190000	欸你們錄完了嗎
190000	191000	我說喔
191000	192000	我們
192000	193000	該開始錄了
193000	194000	準備要開始了
194000	195000	真的很欠揍
195000	196000	我媽就會說
196000	197000	蛤你們剛剛都在幹嘛
197000	198000	我說我們就準備啊
198000	199000	幹嘛上廁所啊
199000	200000	又煩就一直躲在廁所不出來啊
200000	202000	不是啦有時候我們錄Podcast前還會拍片
202000	203000	喔對對對
203000	204000	有時候啦
204000	205000	有時候有時候
205000	206000	有時候
206000	207000	對
207000	208000	我媽是喔
208000	209000	看心我們的
209000	210000	你們就是都是鬼混
210000	211000	對
211000	212000	所以我媽下通牒
212000	214000	我媽今天吃晚餐的時候就說
214000	215000	我大概晚上10點
215000	217000	我就把雷夢抱回去
217000	218000	好
218000	219000	不會吵到你們喔
219000	220000	不會喔
220000	221000	如果你們開始錄了
221000	222000	應該就不會吵到你們吧
222000	223000	對
223000	224000	所以雷夢現在已經
224000	225000	在隔壁房間
225000	226000	在隔壁房間
226000	228000	好我們笑的節制一點
228000	230000	盡量不要吵到吵醒
230000	231000	好然後
231000	232000	馬上就要過年了
232000	234000	對這一集是很有意義的一集
234000	237000	對因為我們在去年的1月5號
237000	238000	對
238000	240000	有更新的一集是關於新年新希望的
240000	241000	開春第一集嘛
241000	242000	對對對
242000	245000	那今年剛好在2021年即將要結束的這一刻
245000	246000	嗯
246000	249000	我們應該要來審視一下我們去年到底許了什麼願
250000	252000	然後我們要完成了些什麼
252000	253000	很煩欸
253000	255000	上個禮拜就已經有留言在提醒我說
255000	257000	欸你們去年許的願有沒有達成
257000	258000	對對對
