start	end	text
0	8600	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8600	9300	我是翠翠
9300	11400	大家好 我是阿端 大家好 我是阿凡
11400	13200	本集的預錄廣告喔
13200	17100	本集節目由大安公園食品果醋日和贊助播出
17100	19600	承襲自日治時代的釀造食品工廠
19600	21700	擁有百年釀醋經驗的公園醋
21700	24400	新推出了果醋日和系列果醋
24400	28100	那日和呢 在日語的意思裡面有好天氣 晴天的意思
28100	30300	就是品牌他們希望大家在飲用的時候呢
30300	33300	可以感受到如好天氣一般的好心情喔
33300	34500	對 他們這次寄給我們呢
34500	37300	是他們系列中的紅石柳這個口味
37300	40400	那裡面呢 除了有高達30%以上的果汁原汁以外
40400	43700	還添加了很多女生都超級喜歡的膠原蛋白
43700	47100	然後還有可以幫助維持體內消化道機能的果果糖
47100	50800	然後以及富含膳食纖維 花青素 維生素C等等等等
50800	53800	多種營養元素的紅石柳萃取物
53800	54700	他這次一寄來呢
54700	57600	我們就直接放在辦公室裡面讓所有的小夥伴試喝
57600	58000	沒錯
58000	59100	我覺得大受好評
59100	60400	因為大家都說很簡單
60400	62100	你就只要加冰塊 加氣泡水
62100	64100	或是加普通的那個冷水
64100	66100	它就會變得很消暑的果醋飲
66100	67400	很適合夏天的現在
67400	68300	對 沒錯
68300	70500	然後我們另外還有把它做成另外一個方式
70500	73500	就是我們把它加了那個菠蘿皮的小番茄
73500	76500	哇 超級消暑的小菜
76500	77300	因為有時候我們晚上
77300	79700	你很熱的時候會食慾不好
79700	81900	這時候這種酸酸甜甜的東西最棒
81900	82700	開胃菜就對了
82700	83300	沒錯 沒錯
83300	85200	所以我自己推薦給大家試試看
85200	86500	我覺得這個果醋呢
86500	87900	跟大部分的食物都
87900	88900	還蠻搭的
88900	94400	我媽她之前去買了那個山苦瓜回來
94400	95200	山苦瓜
95200	96300	山苦瓜超苦
96300	98700	就是那種綠色一根小小根的那種苦瓜
98700	99700	摸了都沒辦法吃
99700	100100	對
100100	100700	希望都沒辦法吃
100700	101100	對
101100	102500	結果我媽不知道
102500	103200	我媽常常會這樣
103200	104600	就是靈機一動
104600	106600	然後做出很神奇的料理
106600	107600	不然這個家家看好了
107600	108600	而且無法複製的那種
108600	109400	無法複製 對
109400	110700	還會忘記自己做過什麼
110700	113200	她那一次就把那個山苦瓜切成薄片
113200	113700	很薄
113700	115800	然後好像加了一兩顆酸梅吧
115800	116300	對
116300	117800	然後再來就是加了
117900	118600	一支的果醋
118600	118900	對
118900	120500	因為果醋我們就一直放在桌上
120500	121500	我媽就看起來覺得說
121500	123200	好像說不定可以
123200	124800	就拿來混在那個山苦瓜裡面
124800	125300	對
125300	126100	哇 結果那個山苦瓜
126100	127600	整個變成一個很神奇
127600	128800	很清爽的風味
128800	130700	我必須說我看到的時候
130700	132300	看起來蠻有實力的
132300	132500	對
132500	134400	因為我真的是一個超級怕苦瓜的人
134400	136700	然後我有鼓起勇氣試了一下
136700	137700	其實剛吃下去的時候
137700	138800	不太會有什麼
138800	140300	你想像中那個苦澀味
140300	140800	對對對
140800	142200	就是變成乾乾甜甜
142200	145700	然後尾韻會有一點苦韻冒出來這樣子
145700	147400	這個果醋在各種地方
147400	149400	都有一種點睛之筆的感覺
149400	151000	對對對
151000	151700	那這次呢
151700	153400	除了我們分享這個紅石油口味
153400	154600	他們全系列還有另外
154600	157000	蘋果梅子跟百香果三種口味
157000	159600	所以大家可以照自己的喜好去做挑選喔
159600	162400	然後最後就是他們優惠活動的部分了
162400	164700	就是現在只要購買果醋日和系列
164700	166200	四種口味任選三瓶
166200	169200	然後加上兩瓶600ml的無糖蘋果醋
169200	171700	大家就會送你一盒特農咖哩甘味
171700	173600	那你記得在輸入結帳的時候要
173600	175100	送咖哩
175100	176100	對
176100	176900	這麼有創意
176900	178000	就覺得很搭
178000	178900	很搭是不是
178900	180700	就是就是咖哩是個很濃郁
180700	181600	對對對
181600	184500	那就要配一個很舒爽的飲料啊
184500	185400	你可以做一個小菜
185400	186900	然後再配一個飲料
186900	188400	把它夾起來
188400	189500	他都幫你想好
189500	190900	有道理
190900	191600	對然後
191600	193900	喔還有結帳的時候要輸入我們的專屬折扣碼
193900	194800	Lady Flavor
194800	196200	要全部都是小寫
196200	197900	就可以再折150塊喔
197900	199500	那以上資訊就分享給大家
199500	200500	然後商品的連結呢
200500	201800	我們也都放在資訊欄裡面
201800	203900	記得點開來看看喔
203900	206900	現在時間是10月23日禮拜一
206900	209700	晚上10點41分
209700	211200	我們這集Podcast
211200	212400	本來是這個下午
212400	213500	大概兩三點就要錄了
213500	214000	對
214000	215100	為什麼會拖到現在
215100	216000	因為我好累
216000	217500	因為我們好累喔
217500	218800	完全不一樣工作
218800	221100	因為我跟陳春春好累喔
221100	222800	我剛才在我的床上打滾說
222800	225100	為什麼我要工作
225100	227200	像國小學生一樣
227200	228600	好
228600	229700	好為什麼這麼累呢
229700	232800	就要講到我們上禮拜到底發生了什麼事情
232800	235200	其實上禮拜我跟陳春春去拍了一支片
235200	235800	對
235800	236800	啊
236900	239400	這支片應該是下下禮拜
239400	239600	嗯
239600	240300	才會上片
240300	241100	對對對
241100	243100	那其實我們現在聊這個
243100	244800	拍這支片的過程有點破梗
244800	245300	嘿
245300	246000	但是沒有辦法
246000	247700	因為上禮拜我們除了這支片之外
247700	248500	沒有做別的事情
248500	249500	啊啊啊這很太累
249500	251600	而且沒有時間想別的東西來聊
251600	252500	嘿對
252500	255100	這支片就是我們去做了一個
255100	256600	說走就走的旅行
256600	257300	沒錯
257300	260100	欸我覺得好像有的人有猜出來欸
260100	262400	因為我們出發的那第一天
262400	263200	好像才剛出發
263200	264600	那時候精神還正好的時候
264600	265700	發了一個限動
265700	266700	啊啊對對對
266900	269500	然後就有人在限動裡面留言說
269500	271700	欸你們兩個是去一個小旅行
271700	272800	說走就走嗎
272800	273300	我就想說
273300	276400	這群人是在我體內裝什麼監視器嗎
276400	277300	真的很厲害欸
277300	278300	有被猜出來
278300	279400	我們的說走就走
279400	280200	不是說那種
280200	283600	欸我們決定今天去那個沖繩
283600	284100	嘿
284100	285400	然後就去買機票這樣
285400	287500	就說搭飛機就搭飛機
287500	288300	對對對對
288300	290100	說去旅行就去旅行
290100	290500	嘿
290500	292700	對我們的說走就是真的要走
292700	293600	walking的走
293600	294900	反正我就先策劃好
294900	295100	嗯
295100	296800	把一些小孩啊誰要顧啊
296800	297400	先策劃好
297400	298200	然後跟陳春春說
298200	299600	欸我們說走就走
299600	302500	我們走路去日月潭
302500	304200	用走路的這樣子
304200	307000	我剛開始一直都覺得他在開玩笑
307000	309200	然後就是他說好啊好啊出發啊
309200	310300	就真的出發的過程中
310300	311500	我都一直在想說
311500	312800	這應該是一個什麼類似
312800	314200	整人類的企劃
314200	316100	說走到半路我們就突然跳出來說
316100	316600	欸
316600	317400	對之類的
317400	319100	然後就是會不會是我的什麼壓力
319100	320500	就是什麼之類的
320500	321200	哦
321200	323000	我就欸他沒有發現我跟
323000	323700	後來我有跟他說
323700	325200	我說我其實一直在偷瞄
325200	326700	有沒有小夥伴在附近
326800	328300	偷拍
328300	329800	事實證明說我想太多了
329800	330700	哦你就一直等
330700	332000	等到說到底什麼時候會有
332000	332900	下一個橋段出現
332900	333800	對啊
333800	335700	後來發現太陽快要下山了
335700	337300	然後我還在走路
337300	339200	總而我們就是輕裝上陣
339200	339600	嗯
339600	340600	可能帶一兩套衣服
340600	341700	啊我們也沒有規劃行程
341700	342700	也不知道要住哪裡
342700	343100	對
343100	344000	就直接出發
344000	344300	對
344300	345300	就慢慢走去這樣子
345300	345700	嘿
345700	346900	然後呢我去之前
346900	348500	我只是google稍微算了一下
348500	349200	嘿
349200	350800	就是從我們家走到日月潭
350800	351800	大概要多久
351800	352300	嗯嗯
352300	353400	啊google就說
353400	354700	17個小時
354700	356600	哦你是不是覺得說好像還好
356800	357900	17個小時是不是
357900	358700	在當天啊
358700	359500	我們就拼
359500	361100	拼一點
361100	362000	拼一點就是
362000	362700	哦你說硬走
362700	363600	起床開始走
363600	364200	嗯
364200	365000	走到睡覺
365000	365400	嘿
365400	366100	就到了
366100	366900	啊
