start	end	text
0	4800	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
4800	5500	我是翠翠
5500	6500	大家好 我是傑尼斯大盾
6500	8000	大家好 我是傑尼斯很煩
8000	11000	最後要來跟大家分享的是尼靜斯熱銷No.1的
11000	13000	極透光亮白淡斑精華
13000	15000	我們終於抽到保養品的邀約了
15000	17000	極透光亮白淡斑精華
17000	20000	主打獨家的C加極透光亮白硬紙
20000	23000	淨透亮三重功效 幫助美白
23000	26000	可以讓皮膚變亮 擺脫暗沉 淡化斑點
26000	28000	7天就能使用
28000	30000	而且還不含酒精香精不刺激
30000	32000	所以適合全膚質的人使用
32000	33000	那這一瓶的價格呢
33000	35000	其實還蠻親民好入手的
35000	37000	就算是局部師傅在逗印
37000	38000	斑點也不會覺得心疼喔
38000	39000	那點擊資訊欄連結
39000	41000	就可以參加投票拿支扣碼
41000	42000	還有超多的優惠組合
42000	43000	直到4月11號
43000	44000	大家要趕快喔
44000	45000	怎麼樣 你剛剛是不是覺得
45000	46000	我一定接不上啊
46000	48000	沒錯 因為剛剛在放OP的時候
48000	50000	他在打哈欠
50000	53000	不 我把哈欠憋住了
53000	54000	OK
54000	55000	OK
55000	56000	那現在我們就來看看
56000	58000	這瓶的效果
58000	60000	好 我們那個
60000	61000	今天是這個
61000	63000	國際圓桌律師
63000	64000	現在不是了啊
64000	65000	過後一天
65000	69000	過後一天是國際圓桌律師
69000	71000	誰給你圓桌律師
71000	74000	然後我們昨天去參加一場慶祝活動
74000	76000	對 慶祝圓桌律師
76000	77000	不是啦
77000	78000	就是我們昨天去
78000	79000	Pockets的
79000	81000	KKBOX的Pockets活動
81000	83000	對 他們就是一個頒獎活動啦
83000	84000	這樣子 然後
84000	85000	但是我要講這件事情
85000	87000	我要講我們昨天的經歷的話
87000	88000	嗯
88000	89000	是一個禮拜之前
89000	91000	為什麼
91000	92000	為什麼
92000	93000	為什麼
93000	94000	我要先解釋說
94000	95000	那天就是
95000	97000	為什麼會胃痛
97000	98000	哦
98000	99000	你知道嗎
99000	101000	你就是要再幫你急加要收到的前情提要
101000	102000	去前情提要
102000	103000	大概這種感覺
103000	104000	好 來來來
104000	106000	我說我過了一個非常悲慘的一週
106000	107000	嗯
107000	108000	有嗎
108000	109000	有啊
109000	110000	我上禮拜我仔細想想
110000	111000	我每天都
111000	112000	我幾乎日夜顛倒
112000	113000	一整個禮拜日夜顛倒
113000	114000	很可怕
114000	115000	對 然後每次雷夢
115000	117000	不是大概晚上吃完晚餐的時候
117000	118000	就被抱回來嗎
118000	119000	雷夢睡覺前大概就是
119000	120000	還有四五個小時
120000	121000	這一位仁兄都在睡覺
121000	122000	我上禮拜也不是各種的
122000	123000	就是
123000	124000	嗯
124000	125000	重病然後躺著休息這樣
125000	126000	很可憐
126000	127000	啊
127000	128000	首先喔
128000	129000	從上禮拜一開始
129000	130000	嘿
130000	131000	就非常悲慘
131000	132000	怎樣
132000	133000	上禮拜一就是
133000	134000	錄Podcast嘛
134000	135000	對啊
135000	136000	對嘛
136000	137000	錄完你就要剪Podcast
137000	138000	錄完我就要剪Podcast
138000	139000	嗯
139000	140000	啊上禮拜
140000	141000	不知道為什麼特別晚錄欸
141000	142000	不知道為什麼
142000	143000	對啊為什麼上禮拜一在幹嘛
143000	144000	好像在等雷夢睡覺吧
144000	145000	特別晚錄
145000	146000	哦
146000	147000	嗯
147000	148000	他會碰到一個微妙的狀態啊
148000	150000	他就是每天兩點多到三點睡覺
150000	152000	他開始越來越晚睡了
152000	154000	我覺得他是跟著你的作息在變
154000	155000	跟著我的作息
155000	156000	屁欸
156000	157000	你最近那麼晚睡
157000	158000	他就晚睡
158000	159000	他不是你怪誰
159000	161000	不是我覺得
161000	163000	應該是說他變得比較好玩
163000	164000	哦
164000	165000	好像有一點
165000	166000	他現在開始很會玩
166000	167000	很會笑
167000	168000	以前雷夢有點無聊
168000	169000	我不是說以前啦
169000	170000	大概一個月之前
170000	171000	沒辦法互動
171000	172000	幾週前對他比較無聊
172000	173000	現在比較能互動
173000	174000	好像是
174000	175000	他就只會躺著
175000	176000	然後就是
176000	177000	要不要喝奶
177000	178000	晃來晃去這樣
178000	179000	哭
179000	180000	對
180000	181000	啊他也翻身也翻不全
181000	182000	就翻過去又翻不回來
182000	183000	對對對
183000	184000	還會生氣
184000	185000	所以翻過去之後就哭
185000	186000	啊哭了就把他翻回來
186000	187000	啊就是他那個
187000	188000	那個
188000	189000	那個舉動
189000	190000	他自己翻不回來的時候
190000	191000	他還硬要翻
191000	192000	那個就是在
192000	193000	就在搞你
193000	194000	給小
194000	195000	給小
195000	196000	對
196000	197000	所以那時候雷夢只會給小欸
197000	198000	嗯
198000	199000	啊那時候相對容易
199000	200000	就是你就
200000	201000	你就把他翻回來
201000	202000	啊他這樣翻久哭久累
202000	203000	他就睡著了
203000	204000	他的哭聲都是有所求的
204000	205000	對
205000	206000	他就睡著
206000	207000	他就睡著
207000	208000	啊但現在他
208000	209000	翻的回來了
209000	210000	對
210000	211000	最近不知道為什麼
211000	212000	他就是會自己翻過去又翻回來
212000	213000	而且他現在趴著的時候
213000	214000	會轉圈圈
214000	215000	他好像快要會爬了
215000	216000	對對對
216000	217000	屁股會翹起來
217000	218000	屁股會翹起來
218000	219000	啊但他現在還是會個
219000	220000	倒退爐的狀態
220000	221000	嗯
221000	222000	就是他
222000	223000	比較會控制手
223000	224000	對對對
224000	225000	手比較有力
225000	226000	對
226000	227000	他就是腳不會控制
227000	228000	只會倒退爐
228000	229000	對
229000	230000	所以他就會自己在床上就是
230000	231000	翻來覆去
231000	232000	然後
232000	233000	轉圈圈
233000	234000	遠離轉圈圈幹嘛
234000	235000	照顧一下香港的那個民眾
235000	236000	倒退爐就是往後退
236000	237000	的意思
237000	238000	對
238000	239000	但他其實是往前
239000	240000	他其實是想往前
240000	241000	他其實是想往前的
241000	242000	對對對
242000	243000	啊這時候他會生氣
243000	244000	嗯
244000	245000	他就會一直往後退
245000	246000	他就會莫名其妙
246000	247000	他就會很生氣
247000	248000	對
248000	249000	就覺得這個世界為什麼都
249000	250000	就是跟他作對
250000	251000	對
251000	252000	然後反正他現在變成比較好玩
252000	253000	嘿
253000	254000	他也比較會抓東西
254000	255000	對
255000	256000	他開始會咿咿啊
256000	257000	講一些
257000	258000	聽不懂的話
258000	259000	對
259000	260000	他現在吼
260000	261000	就是他只會講
261000	262000	把
262000	263000	跟把
263000	264000	還有打
264000	265000	跟打
265000	266000	對對對
266000	267000	對
267000	268000	那時候尤其是本王
268000	269000	他都叫他打
269000	270000	他就一直叫他打
270000	271000	我記得他遇到貓
271000	272000	都是叫嘿呀
272000	273000	不是
273000	274000	他是欸
274000	275000	出現第四個聲音
275000	276000	欸
276000	277000	欸跟打
277000	278000	反正現在他現在
278000	279000	就是跟他的對話都是這樣
279000	280000	他都突然說媽
280000	281000	嗯
281000	282000	媽媽嗎
282000	283000	你能叫媽媽嗎
283000	284000	不是
284000	285000	然後就又又很長
285000	286000	就是叫他叫媽媽
286000	287000	對
287000	288000	然後如果說
288000	289000	爸
289000	290000	哦爸爸媽
290000	291000	你要叫爸爸嗎
291000	292000	你先叫爸爸嗎
292000	293000	可能這樣
293000	294000	跟他玩比較多
294000	295000	對啊
295000	296000	就是比較多東西可以玩了
296000	297000	對
297000	298000	沒記錯的話
298000	299000	應該是在哄他睡覺
299000	300000	對然後他很晚睡
300000	301000	嗯
301000	302000	啊所以我就很晚開始剪
302000	304000	我們應該是兩點多才開始錄吧
304000	305000	啊就剪剪剪剪到天亮
305000	306000	對
306000	307000	啊我們公司剛來一個企劃
307000	308000	你知道嗎
308000	309000	就是一個新員工
309000	310000	對
310000	311000	加入我們
311000	312000	嗯
312000	313000	啊我們我們公司是
313000	314000	是早上十點上班
314000	315000	對對對
315000	316000	就配合我們的作息
316000	317000	我們比較晚上班
317000	318000	因為我們早起不了
318000	319000	對
319000	320000	對
320000	321000	所以我們晚上早上十點上班
321000	322000	嗯
322000	323000	但其實我們起來的時候大概也是
323000	324000	十二點多到一點
324000	325000	欸
325000	326000	對
326000	327000	重疊的時間比較多
327000	328000	對重疊的時間比較高
328000	329000	對重疊的時間比較多
329000	330000	欸然後所以我想說哇
330000	332000	他他剛來剛來上班
332000	333000	他一定要起來吧
333000	334000	不是他就不知道要幹嘛
334000	335000	他會不知道要幹嘛
335000	336000	會手足無措
336000	337000	對一定要迎接他的十點
337000	338000	就是
338000	339000	嗯
339000	340000	對就想說是不是要交代他一些事情
340000	341000	嘿
341000	342000	來給一些任務
342000	343000	不然他不知道要幹嘛
343000	344000	對
344000	345000	很荒唐
345000	346000	但是他第一天上班
346000	347000	對
347000	348000	嗯
348000	349000	所以我想說我那時候已經剪到早上
349000	350000	大概六六六點了吧
350000	351000	因為因為帕克斯
351000	352000	其實也不是光剪就這麼久
352000	354000	因為他上船要等很久
354000	355000	等他跳出來啦
355000	356000	對
356000	357000	就是丟上去就好
357000	359000	但是帕克斯他就是一個多小時啊
359000	360000	嗯
360000	361000	那你原本的原始的錄音可能是
361000	363000	快一個半小時
363000	364000	然後又聽一遍
364000	365000	然後又要剪
365000	366000	然後又要剪
366000	367000	對反正就是
367000	368000	反正弄到最後就天亮了啦
368000	369000	好
369000	370000	我說都七八點了
370000	371000	好
371000	372000	我想說
372000	373000	等他第一天來上班
373000	374000	不然我就在這邊等他來上班
374000	375000	不然你一定起不來
375000	376000	對啊
376000	377000	因為你下去睡你一定起不來的
377000	378000	不然你起不來啊
378000	379000	他整個上午都不知道要幹嘛
379000	380000	對啊
380000	381000	那我就乾脆在那邊等他來上班
381000	382000	嗯
382000	383000	然後我就
383000	384000	我也不知道我在幹嘛
384000	385000	應該是打電動吧
385000	386000	電動嗎
386000	387000	你最近不是在玩那個節奏遊戲嗎
387000	388000	你最近不是在玩那個節奏遊戲嗎
388000	389000	我們就看一些廢片吧
389000	390000	反正就沒事
390000	391000	我就混到
391000	392000	混到他來上班
392000	393000	他上班的時候
393000	394000	就跟他講一些事情幹嘛
394000	395000	嗯
395000	396000	然後
396000	397000	後來
397000	398000	我應該吃完了午餐
398000	399000	就去睡了吧
399000	400000	才去睡覺
400000	401000	就是平常起床時間你就去睡了
401000	402000	就是平常起床時間你就去睡了
402000	403000	對
403000	404000	所以我這個時候已經完全日夜顛倒了
404000	405000	對
405000	406000	對我來說啦
406000	407000	中午去睡覺算日夜顛倒
407000	408000	對
410000	411000	啊隔天
411000	412000	隔天我們拍
412000	413000	食堂
413000	414000	料理的影片
414000	415000	對
415000	416000	料理的影片我們其實滿早開始拍的
416000	417000	我們吃完晚餐就開始拍了
417000	418000	我們吃完晚餐就開始拍了
418000	419000	但是我們要跟大家說就是
419000	420000	但是我們要跟大家說就是
420000	421000	怎麼說呢
421000	422000	拍料理影片是我們的一個堅持啦
422000	423000	對就是覺得一定要拍的影片
423000	424000	就是我們以前
424000	425000	就是經營youtube頻道這幾年來
425000	426000	就是經營youtube頻道這幾年來
426000	427000	從一開始就是拍這個
427000	428000	對
428000	429000	所以是拍到現在
429000	430000	對所以後來不管風風雨雨
430000	431000	所以是拍到現在
431000	432000	不管遇到什麼事情
432000	433000	就算多久才跟一次
433000	434000	我們還是會努力拍
434000	435000	就是我們還是每個禮拜六都會更新
435000	436000	就是我們還是每個禮拜六都會更新
436000	437000	料理的影片
437000	438000	一直到雷夢出生之後
438000	439000	一直到雷夢出生之後
439000	440000	實在是堅持不下去了
440000	441000	實在是堅持不下去了
441000	442000	真的沒有辦法
442000	443000	壓死駱駝之後一個倒抽
443000	444000	對
444000	445000	被雷夢壓死
