start	end	text
0	8480	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8480	9000	我是翠翠
9000	10500	大家好 我是點子大段
10500	11600	大家好 我是林聖凡
11600	14780	我跟你講 你們再也聽不到我的開頭講錯了
14780	15400	真的嗎
15400	15900	沒錯
15900	17980	很固定在他腦袋裡
17980	20860	很害怕 插掉
20860	23300	今天要聊一個很沉重的話題
23300	25720	不是 我們先跟大家解釋一下現況
25720	28160	現在是這個
28160	29800	禮拜一的兩點半
29800	31000	什麼禮拜一的兩點半
31000	32600	禮拜二的兩點半
32600	35400	3月23日 星期二
35400	37800	新種年2月11
37800	40800	2點26分
40800	42600	為什麼又是這個情緒的時間
42600	44600	我們今天要更新
44600	45800	我現在還錄
45800	48900	錄完之後大概3 4點半 4點
48900	50400	我開始剪
50400	51600	剪完之後大概
51600	52200	7點
52200	53900	6點 7點
53900	54900	就可以發了
54900	56200	我可以發
56200	57100	早上要聽的人
57100	59700	一進到公司
59700	64300	你甚至連上那種早上搭通勤的人都聽不到
64300	64700	聽不到
64700	65700	你很壞
65700	66900	聽不到
66900	69100	沒關係 到公司之後邊吃早餐邊聽
69100	72300	沒關係 很多人邊上班邊聽
72300	73300	今天
73300	75600	這個怎麼會拖到現在呢
75600	77700	其實我們很常在這個時間錄
77700	79900	今天特別晚 超級晚好不好
79900	82500	對 今天連雷夢都要睡著了
82500	83500	對
83500	84200	怎麼說呢
84200	85700	這個要從上禮拜講起
85700	88500	要從上禮拜
88500	89100	哎呦
89100	90400	是你的日記呢
90400	91200	喔 日記是不是
91200	93900	沒有 這個節目已經變成你的日記了
93900	95600	你每次都要從一個禮拜之前開始講
95600	96000	對啊
96000	97400	一個禮拜 一個節節一個禮拜
97400	97800	對
97800	99400	沒有 我們上次是從
99400	101000	上個禮拜一開始講
101000	101400	對啊
101400	103200	這次是從上禮拜四開始講
103200	104100	喔 比較短是不是
104100	104800	比較短
104800	105300	走記
105300	107300	不會像上次一樣那麼多
107300	109100	快速帶過
109100	109800	我不相信
109800	110800	簡單來說
110800	111900	簡單來說
111900	112700	上禮拜四
112700	112900	對
112900	115700	我們本來安排我們要拍一支影片
115700	116600	你說貓廚房嗎
116600	118000	對 是一支貓廚房的影片
118000	118300	嗯
118300	118900	上禮拜四
119100	119800	在晚禮拜六
119800	120900	就大家都看得到這樣
120900	121500	沒有啦
121500	122300	沒有啦
122300	123000	沒有啦
123000	124700	隔一兩個禮拜啊
124700	126900	然後這是我們那個新的同事
126900	128000	我們可愛的企劃
128000	129600	已經幫我們把東西都準備好了
129600	130000	對
130000	130400	所有的食材
130400	131000	東西都買好了
131000	131600	東西都買好了
131600	132600	對 然後冰在冰箱裡
132600	133700	一直提醒我們說
133700	135100	下班前還特地提醒我們說
135100	135900	要記得拍喔
135900	136400	嘿 對
136400	136800	嗯
136800	137600	嘿 食材啊
137600	139000	什麼都已經放在冰箱裡面了
139000	139400	對
139400	141400	而且有一些肉類的
141400	142600	還是放在冷藏
142600	143400	對 對 對
143400	144800	就是不排他就壞掉
144800	145100	對
145100	145600	這樣
145600	147900	我覺得我們的企劃木偶在逼我們
147900	148300	即使
148300	149400	即使做到這個程度
149400	149700	對
149700	150300	嗯 對
150300	151500	我們那天還是沒有拍
151500	152000	嗯
152000	153200	為什麼沒有拍
153200	154000	為什麼沒有拍
154000	154600	為什麼沒有拍
154600	155100	為什麼
155100	156000	為什麼
156000	156600	我忘記了
156600	157600	我也忘記為什麼沒有拍
160600	162100	連理由都懶得想了
162100	162500	蛤
162500	163700	連理由都懶得想了
163700	164100	一定有一個
164100	165100	不 我們不掰理由的
165100	166700	我們都講事實
166700	167900	對 肯定是
167900	168800	某一個事件吧
168800	169200	為什麼
169200	171000	通常要拍這種
171000	171700	就是
171700	172200	怎麼說呢
172200	173600	這個貓廚房這個系列的影片
173600	175900	對我們來說是一個壓力比較大的影片
175900	176600	超大
176600	177900	欸 因為拍起來
177900	178300	很累
178300	179400	然後又很久
179400	180100	又很久
180100	181800	反正基本就是拍5個小時嘛
181800	182600	嗯 對
182600	185000	然後他的那個影片的觀看的成果
185000	185900	有時候又不一定好
185900	187600	一直以來都算是普通
187600	189400	然後有的時候還會有點偏差
189400	190000	就是那種
190000	191200	就是那種你每次很拼命的
191200	192000	然後拍了一支
192000	193400	就是覺得是曠世絕作
193400	194600	想要一個很酷的食譜
194600	195000	欸
195000	195900	把貓很喜歡
195900	196600	然後拍了很久
196600	197800	然後剪得很辛苦這樣
197800	198800	對 剪完了
198800	199800	還不如就是
199800	200800	雷夢翻身
200800	201800	欸之類的
201800	202200	之類的
202200	203500	總15秒的影片這樣
203500	204400	哈哈哈
204400	205100	小破片
205100	206000	欸小破片
206000	207000	對
207000	208260	所以有時候喔
208300	210100	就是在比較累的時候
210100	210500	對
210500	211500	拍起來就會有點無力
211500	213200	我覺得我們上禮拜蠻精實的
213200	215400	因為我們最近有一個新的企劃
215400	216400	小新同事
216400	216700	欸
216700	218600	然後就是開始有人會盯我們要拍片
218600	220700	或是幫我們排那個進度這樣
220700	221200	是嗎
221200	222000	對 我覺得我們上次
222000	223300	上個禮拜蠻乖的
223300	224900	每天都按照表操課
224900	225600	其實我們上
225600	226400	我們原本齁
226400	227800	這個貓廚房這個系列
227800	228200	欸
228200	230700	對對我們是排每週二拍
230700	231400	對對對
231400	232900	所以我們上上個禮拜二
232900	233200	欸
233200	234000	有拍一支貓廚房
234000	234400	欸
234400	235100	拍完之後呢
235100	236200	從禮拜二開始
236200	237400	禮拜二 禮拜三 禮拜四
237400	238700	禮拜五 禮拜六 禮拜日
238700	239500	都很累
239500	240900	都呈現一個就是
240900	242100	有點萎靡的狀態
242100	242600	OK
242600	243600	我們就說這樣不行
243600	245100	所以說我們就跟他說
245100	245700	跟我們企劃說
245700	246800	我們這樣覺得這樣不行
246800	247000	對
247000	248100	不能排在禮拜二中間
248100	249100	一個禮拜都過不下去
249100	249400	對
249400	250700	所以我們就排在禮拜四
250700	251000	對
251000	252500	本來要排禮拜五
252500	252800	欸
252800	254200	結果禮拜五應該有別的事吧
254200	255200	沒有我們就說
255200	255900	隔天是週末
255900	257300	超容易就是想說
257300	257600	啊
257600	258200	我明天再拍好了
258200	259000	就是skip過去了對不對
259000	259400	對對對
259400	260200	就是想說算了
260200	262500	反正他們禮拜一來上班才會撿得到
262500	264000	對對對對對
264000	265400	禮拜四就想說我們先禮拜四拍
265400	265800	對
265800	267300	好 那禮拜四
267300	267900	通常啦
267900	268800	遇到這種事情的時候
268800	270600	都是我會問翠翠說
270600	270900	欸
270900	272300	差不多該拍片的時間了嘛
272300	272900	嗯
272900	274600	然後翠翠就說就是
274600	275400	今天要拍嗎
275400	276300	對
276300	278100	你不覺得他很過分嗎
278100	279100	他把這個那個
279100	280400	他不想拍 理由交給你
280400	280700	丟給你
280700	281400	他不想拍 對
281400	282600	然後就問你
282600	282900	沒有啊
282900	283900	因為這個是
283900	284300	因為現在是
284300	284600	不是
