start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 украї
30000	32660	今天是禮拜天
32660	34920	然后我们上礼拜只更新了一集
34920	35720	没错
35720	36820	非常的懒散
36820	38400	其实我们原本的计划是
38400	40080	虽然我们说做身体健康
40080	41100	但是我们本来想说
41100	42940	尽量维持个每个礼拜更新
42940	44840	两集左右这样的感觉
44840	47720	那上礼拜为什么只有更新一集呢
47720	48240	为什么
48240	49880	其实我也不知道为什么
49880	51760	上礼拜其实是特别闲的一个礼拜
51760	54000	果然是因为你们成名打电动吧
54000	54580	没有啊
54580	55320	没有成名打电动
55320	55800	有耶
55800	56340	有啊
56340	58220	你们就有在玩那个模拟程式
58220	58780	不是
58780	60420	是摄影师他在打那个
60420	61400	上次我们讲完之后
61400	63480	他就去玩那个中国式家长了
63480	64880	哦 你玩到第几代了
64880	66080	第四代
66080	67500	你要不要跟大家分享
67500	69180	你残酷的第四代的解释
69180	72420	就是说反正他前面就是很顺利
72420	73940	他第二代就考上北大了是不是
73940	75280	对 第二代就考上北大
75280	75520	超厉害
75520	77080	对 让人非常争气
77080	79020	对 然后第四代就把他在家里
79020	79540	有什么败光
79540	80000	没错
80000	82020	你让他分享他第四代有多过分
82020	84580	他模拟考考700多分
84580	86480	所以高三的最后一次模拟考
86480	86680	对 糟糕
86680	87620	分是750嘛
87620	88280	分是750
88280	88620	对
88620	88760	对
88760	89880	考了730几吧
89880	91620	理论上一定是北大吧
91620	93320	北大清华应该是
93320	94340	长中之物
94340	95780	长中之物 板上钉钉
95780	96580	没有错 没有错
96580	99760	然后考了540几分
99760	100640	比第一代还要烂
100640	102480	是大考的时候考500多分耶
102480	103780	哦 不是
103780	104100	那个都
104100	105920	那个是会失常的哦
105920	107020	你是不是没有检查
107020	108260	他的压力值过高
108260	108840	没有压力值
108840	109960	完全在我掌控之中
109960	111140	所以我听说在我掌控之中
111140	112860	我现在回想起来可能是
112860	113700	那时候选
113700	116080	那个志愿的时候选错了
116080	118220	哦 因为他游戏中途会问你说
118220	119860	就是大家在讨论志愿
119860	121400	然后你目前的志愿是什么
121400	122500	那你选了什么志愿
122500	123560	我选了视觉总监
123560	125460	是不是不太妙
125460	127580	回想起来我这边出了问题
127580	128740	就是好像不用太认
128740	129560	一辈子都在读书
129560	131780	然后考北大就选了一个视觉总监
131780	132640	是他的理想
132640	133540	视觉总监
133540	136200	就是说他可能很会读书
136200	137620	但是后来想一想说
137620	138320	考了好队
138320	139320	他当视觉总监
139320	140220	好像没什么帮助
140220	142100	就是放荡不羁的孩子
142100	143640	放弃了
143640	144460	然后他最后成为什么
144460	146180	化妆师
146180	146900	哎
146900	148060	太厉害了
148060	149780	太棒了
149780	151860	他搞不好是MAC的专属化妆师啊
151860	153100	你不要小看他
153100	155100	啊 什么东西
155100	155900	MAC你不懂
155900	156660	啊 什么MAC
156660	159340	MAC你不懂
159340	160460	你懂 什么东西
160460	161460	是苹果的电脑啦
161460	163620	哎 没关系
163620	165340	应该我们大部分的听众应该都懂
165340	166780	对 好
166780	170660	考北我好像就有被排鞋杀掉了
170660	172740	总监是最近都沉迷打电动啦
172740	173620	其实也不是啦
173620	174220	上礼拜
174220	176180	反正好小姐现在已经
176180	176980	你几周啦
176980	177980	38周
178060	178500	38周
178500	180060	所以现在属于一个
180060	181820	就是小孩随时都会蹦出来的状态
