start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束CUBE
30000	59980	歡迎來到好味小姐的影片 歡迎來到好味小姐的影片
60000	61440	那冰河糖蛋白保濕霜呢
61440	65360	他們主打是萃取世界上最純淨的南極冰河配方
65360	69120	那無添加酒精香料色素防無劑等四大無負擔保證
69120	70880	擁有不致粉刺的安心配方
70880	73360	所以連敏感肌的人都可以安心的使用喔
73360	75200	那其中的植萃舒緩成分呢
75200	77120	是可以加強你肌膚的屏障力
77120	80720	可以改善粗糙 緊繃 乾癢 脫皮 泛紅 暗沉等六大
80720	82480	那確實說只要任何的敏感不適
82480	85120	你只要擦了它 馬上就會有感的舒緩喔
85120	87600	那推薦給跟我一樣就是很怕黏膩乳霜感
87600	90640	然後但是你皮膚冬天又很乾需要保濕的人
90640	92960	那我自己試用了一陣子是覺得我這陣子臉
92960	95680	摸起來都還蠻彈的 不錯不錯
95680	98560	然後最後他們這次還有另外讓我們試用一個他們新上架的
98560	100880	10.5角砂丸保濕面膜
100880	104240	其實他說是面膜我覺得它很像是一個膏狀的東西
104240	105440	就是它是一整罐
105440	107760	然後摸起來很像護唇膏感覺硬硬的
107760	110880	然後裡面就有封存10.5%的植萃角砂丸
110880	112720	那你抹在臉上的時候雖然是膏
112720	114960	但是抹上去馬上就會變成霜狀
114960	117120	那這是他們獨創的血絨技術
117120	119040	可以完全保存成分的活性
119040	121200	然後得到最完美的屏障跟保養
121200	123440	我自己覺得還蠻神奇的用在這個過程中
123440	126000	而且保濕力也是令我感到驚豔的
126000	127920	一整天的皮膚摸起來都會很嫩
127920	130800	所以我自己應該之後這罐用完我還會自己再回購
130800	132400	那他們現在才做一個活動喔
132400	134400	就是專屬我們好味的優惠組合
134400	136720	我覺得送蠻多東西的推薦給大家
136720	138880	是買冰河棠蛋白保濕霜50ml
138880	140640	加金盞花化妝水250ml
140640	143120	他就會再送你冰河棠蛋白保濕霜
143120	144480	然後金盞花化妝水
144480	146240	還有冰河棠保濕潔面乳
146240	147280	我覺得誠意滿滿的
147280	149120	算一下大概打了七億折左右
149120	150640	而且只有限量100組喔
150640	153120	那更多的內容大家可以參考資訊欄裡面
153840	156640	好然後各位我們剛剛講那個業配的東西
156640	159600	我就有一個觀念要跟大家就是分享
159600	160320	怎樣
160320	160880	觀念
160880	162720	你有什麼觀念你又沒有試用
162720	163520	不是不是不是
163520	165040	就是敷面膜嘛
165040	166720	皮膚保養這種事情
166720	169200	對不對我覺得現在已經不是那種
169200	171840	女味越級折瀏的年代了
171840	173600	我們大家保養自己的皮膚啊
173600	174480	讓自己變得更好
174480	175360	更漂亮
175360	176560	一切都是為了自己好
176560	176880	沒錯
176880	178560	自己看開心就好了
178560	179600	沒錯嘛
179600	181360	所以你敷完面膜之後呢
181360	184720	其實不用去問別人的意見
184720	185600	好不好
185600	187680	你自己滿意就可以了
187680	189680	不需要別人的認可
189680	191760	才能表示說你的皮膚真的很好
191760	193440	就摸就感覺出來啦
193440	194720	對嘛就感覺出來了嘛
194720	195600	對啊
195600	196800	所以你就不需要再
196800	199520	就比如說你男朋友還在忙一些別的事情
199520	201200	比如說打電動打到一半
201200	202640	然後你剛敷完面膜
202640	203600	然後就在他旁邊
203600	205600	硬要他騰出手來摸摸看你的臉
205600	206320	我有嗎
206320	207760	我沒有吧
207760	208720	你亂講
208720	209280	然後問你說
209280	211200	欸你是不是覺得皮膚有變好了
211200	211840	然後你就摸一下
211840	212240	然後說
212240	214000	喔對啊對啊對啊
214000	215200	你都敷衍我
215200	216480	我有嗎
216480	217600	在這種狀況下
217600	218800	不管他多誠懇
218800	219280	對
219280	220640	你都會覺得他在敷衍你
220640	221120	對
221120	222080	因為他就在做別的事情嘛
222080	223120	他就在做別的事情啊
223120	225840	不可能女生在敷面膜的時候
225840	227280	敷完了當下
227280	228560	男生是空閒著的
228560	230320	因為你敷面膜雖然長一段時間
230320	231600	你一定是在做自己的事情
231600	233440	沒有人可以跟你一起敷面膜
233440	235440	所以你男朋友或是你老公
235440	236240	一定在做別的
236240	237360	他自己正在做的事
237360	238160	嗯哼
238160	238720	對
238720	239120	好吧
239120	239680	尊重
239680	240640	我是尊重彼此
240640	241680	是我的意思是說
241680	242640	你的皮膚變好
242640	243680	你自己開心就可以了
243680	245120	好啦好啦
245120	245600	一定有
245600	246160	他人都可以
246160	246720	一定有
246720	247280	對
247280	250240	但是我也有強迫默默說有
250240	250720	好
250720	251520	咪納桑
251520	252880	我出去玩回來了
252880	253280	沒錯
253280	254320	拋家棄子回來了
254320	255600	拋棄棄子
255600	257040	拋棄棄子
257040	259360	欸我這次是規劃了很久
259360	261360	然後難得可以跟我以前高
261360	263040	大學的同學一起出去玩欸
263040	263360	喔
263360	265120	因為他們兩個一個是人妻
265120	267680	然後一個就是之前就是瘋狂加班狂人
267680	268000	嗯
268000	269600	然後好不容易現在一個劉庭
269600	271120	因為他就是顧小孩嘛
271120	272560	就請了一個育嬰假
272560	274480	劉庭是劉子庭星嗎
274480	275840	對劉子庭星
275840	277200	然後他就請了育嬰
277200	278640	然後是劉子庭星這樣
278640	279520	然後另外一個呢
279520	281440	剛好換工作有個空檔
281440	281920	喔
281920	282320	嘿
282320	284880	就是天時地利人和我們三個可以湊在一起
284880	286240	劉子庭星不是很久了嗎
286240	287120	對他停滿久
287120	288320	他大概停了半年左右
288320	288960	已經停半年了
288960	289360	對
289360	291280	但是我們另外一個加班狂人
291280	292640	最近才換工作
292640	292960	等一下
292960	294640	劉子庭星這個意義齁
294640	295200	嗯哼
295200	296880	不是就是讓你劉子庭星
296880	298240	公司一樣付你薪水
298240	298640	對啊
298640	300160	讓你在家裡好好照顧小孩
300160	300720	對啊
300720	301200	對嘛
301200	301440	嗯
301440	301760	對
301760	302320	沒有錯嘛
302320	302640	對啊
302640	303440	我理解是正確的嘛
303440	303840	對
303840	305120	那跑過去玩怎麼回事
305120	306720	他需要幫手心情啊
306720	307600	也會累啊
307600	308320	對啊
308320	309040	壓力很大欸
309040	310960	你這個想法非常危險
310960	311520	對啊
311520	312080	糟糕
312080	312960	我真的很不對
312960	313360	對啊
313360	313760	真的不對
313760	315280	然後反正我們三個就久違了
315280	315840	可以湊在一起欸
315840	317200	劉子庭星期間
317200	317440	嗯
317440	317920	好
317920	320800	身心健康也是需要被考慮的部分
320800	321600	出去旅遊什麼
321600	323760	劉子庭星是因為他有媽媽工作做
323760	325280	媽媽工作也是需要放假的
325280	326000	對啊
326000	326800	喔說得很對
326800	327360	對不對
327360	328160	說得非常好
328160	330400	他劉庭這麼久就只跟我出去玩一次欸
330400	331040	喔真的
331040	331600	對啊
331600	333520	反正我們這次就是商量了很久
