start	end	text
0	8440	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8440	9040	我是JJ
9040	9800	哈囉 大家好 我是JJ
9800	10560	大家好 我是JJ
10560	12160	本集有預錄的廣告喔
12840	17160	本集節目由美亞鍋具 Circulon全新系列A1贊助播出
17160	21840	Circulon A1系列鍋具來自美國第一大鍋具品牌美亞鍋具
21840	25160	使用超越洋極氧化的Scratch Defense技術
25160	28000	將航空級耐用性技術用於鍋具中
28000	30240	耐用度是一般鍋具的130倍
30240	34200	解決常見的刮傷 沾黏以及塗層剝落的惱人問題
34200	36600	其實品牌方大概在10月初的時候
36600	39760	就把他們這個系列全部的鍋子都寄到我們家了
39760	40400	喔 沒錯
40400	43440	然後那個時候剛好我們家全部的鍋子都處在一個
43440	45600	就是崩壞的邊緣
45600	46760	所以我就跟我媽說
46760	48560	應該可以去買新的鍋子幹嘛
48560	51240	然後就突然某一天到廚房的時候發現說
51240	53000	全部的鍋子都換新的了
53000	53600	沒錯
53600	55440	我想說我媽這怎麼特別有效率
55440	56520	執行力很高
56520	57960	花得這麼爽快
57960	59120	全部都換新的
59120	61520	那時候我也不知道說這其實是常常送給我們的試用品
61520	62040	對
62040	64800	所以說我接下來使用性的完全就是
64800	66280	沒有任何先入為主的觀念
66280	68160	就是照日常的使用習慣在用它
68160	68760	對對對
68760	70880	然後馬上就發現很多不一樣的地方
70880	71960	就一般的不沾鍋
71960	74000	你是鍋內是那個不沾鍋塗料
74000	74680	對對對
74680	76800	但是你那個鍋外是沒有的
76800	78480	所以有時候你炒一些東西然後噴出來
78480	79520	喔 鎖一出來
79520	81200	然後又被那個火燒一下之後
81200	83240	外面那層會變得非常的難洗
83240	83960	髒兮兮的
83960	85480	就裡面可能沖一下
85480	87320	外面就被刷半天
87320	87920	但他這個鍋
87920	91000	就是內外兩層都有不沾鍋的塗料
91000	93520	我覺得這個洗起來的那個感覺差超多
93520	94160	差超多
94160	94800	超明顯
94800	95120	對
95120	95760	然後
95760	98880	他的那個整個鍋子是可以放進洗碗機的
98880	99800	超棒
99800	101080	這是我們以前沒有注意到的
101080	101520	對
101520	103160	因為以前我們很喜歡買一些什麼
103160	104480	木餅的那種
104480	105440	我覺得很有質感
105440	106560	很可愛的那種
106560	107360	平底鍋
107360	108680	日常使用
108680	111280	你那個不小心把它丟進去那個洗碗機
111280	112600	它那個餅會爆掉
112600	113680	對對對
113680	115720	對 然後這就非常的方便
115720	116720	然後再來一個特點
116720	117680	那你平常沒有講
117680	119000	我自己發現
119000	121000	就他們那個平底鍋的高度
121000	123600	都比我們平常習慣的平底鍋高度再高一點
123600	124640	喔 好像有
124640	125320	對
125320	126080	所以就是
126080	127520	你在炒一些東西或什麼之類
127520	130080	你會明顯感覺到說一些菜汁什麼的油
130080	131480	不會噴出來
131480	132000	對對對
132000	134520	我自己在炒了幾次宵夜的時候我就有發現
134520	135520	就你以前用平底鍋
135520	136960	雖然鍋內很好洗
136960	138320	但是鍋外很難洗
138320	139360	廚房也很難洗
139360	140800	爐子邊邊的那個
140800	141800	喔 桌面
141800	143600	他就是要把你就是
143600	145440	全部都照顧到的那個感覺
145440	146520	非常貼心
146520	147640	然後最後就是他們的主打
147680	148800	這個耐刮特性
148800	149880	欸 130倍嘛
149880	151040	欸 其實很明顯
151040	153000	就是你覺得他那個鍋子啊
153000	154160	跟一般的平底鍋比起來
154160	154520	對
154520	155320	特別的紮實
155320	155720	欸
155720	157560	所以你就感覺到他的料就是比較厚
157560	158000	嗯
158000	159800	欸 一般平底鍋不會做這麼厚的料
159800	160400	對對對
160400	161920	因為他用一下馬上就壞
161920	162320	喔
162320	163240	是一個消耗品
163240	163880	消耗品
163880	164960	他都沒有給你久用的
164960	165520	欸
165520	167760	所以像是黃金木耳很喜歡吃那個蛤蜊
167760	168480	欸 炒蛤蜊
168480	169280	炒蛤蜊之類的
169280	169520	嗯
169520	170880	有沒有像你如果是
170880	171520	普通平底鍋
171520	172280	好
172280	174840	炒蛤蜊一次就是消耗掉一個平底鍋
174840	176000	馬上就會有刮痕了
176000	176720	馬上就會有刮痕
176720	177040	嗯
177040	179000	隔天下一顆炒蛋就直接爆炸
179000	179640	對
179640	180400	他這個就
180400	180920	就不會
180920	181960	欸 真的真的
181960	183680	明顯的耐用度就是高很多
183680	184640	欸 沒錯
184640	186720	所以你用使用起來會特別的放心
186720	187760	嗯
