start	end	text
0	8940	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8940	9660	我是翠翠
9660	10840	大家好 我是林聖凡
10840	11920	大家好 我是林聖凡
11920	15400	我今天特別心平氣和 所以開場開得特別順暢
15400	17760	其實也不是心情順暢 因為我有點緊張
17760	21500	因為我們今天要聊這個主題 我要當主後我有點緊張
21500	24260	我很不會開啟聊天的模式
24260	27780	事情是這樣 就是我們大概一兩個禮拜前吧
27780	29860	就是過年前的最後一個禮拜的樣子
29860	30700	是嗎?
30700	31620	對 好像是
31620	33300	忘記了 反正那個很久以前我們就
33300	35780	剛開始有那個clubhouse的帳號
35780	37380	然後我們就想說 喔
37380	40500	很興奮 隨便就是開了一個
40500	43620	反正就開了一個房間 然後跟大家聊一聊
43620	48020	就是看有什麼問題這樣 有點像是一個QA的感覺
48020	52420	然後就很多那個香港的粉絲跑來問問題
52420	53860	特別多欸 真的特別多
53860	57620	然後就有人跟我們說 就是他們很喜歡我們的podcast
57620	59840	但是他說 為什麼我們從來沒有
59840	61840	從來沒有唸過香港粉絲的留言
61840	63840	對 然後我們就想 喔
63840	65840	我們沒有看到啊 這樣
65840	67840	原來香港的留言會在 就是另一個頁面
67840	69840	他在香港的頁面裡面
69840	71840	是分開的 所以我們從來沒有看到
71840	73840	對 沒留言過 沒錯
73840	75840	我想說那我們就今天特別來講一下
75840	77840	香港那個粉絲的留言
77840	79840	對 有點開一個香港特別篇的感覺
79840	81840	沒有 其實原本只是說想來唸一下香港的留言而已
81840	83840	結果咧 然後原本有準備另外一個主題
83840	85840	就突然
85840	87840	就突然很興奮說 喔 香港的留言嗎
87840	89840	那我們來順便講講香港的什麼什麼什麼啦
89840	91840	香港什麼港劇什麼之類的
91840	93840	對 因為我是電視兒童
93840	95840	對 我從小就是電視帶大的
95840	97840	其實強硬的就是側放我們
97840	99840	結果就是我們
99840	101840	稍微就是事先稍微我們
101840	103840	就是講到這個主題的時候說 你有沒有聽過那個什麼什麼
103840	105840	欸 你有沒有聽過那個什麼什麼 我就很興奮
105840	107840	就你們兩個反應好像略平淡欸
107840	109840	你說港片嗎 對 你講那個什麼什麼
109840	111840	人家怎麼知道你講的是什麼什麼
111840	113840	喔對 港片啦 對 然後你們反應好像略平淡欸
113840	115840	就是 我就想說會不會
115840	117840	你們都無法接到我的梗啦
117840	119840	就是說翠翠小時候其實是一個
119840	121840	我跟他以前聊天發現小時候其實是一個電視兒童
121840	123840	差不多 對
123840	125840	我超愛看電視的 然後在我們小時候
125840	127840	那個時候 不知道為什麼
127840	129840	那個台灣的一些電影台
129840	131840	就他們基本上幹的事情就是一整天
131840	133840	不停的播港片 都在輪播
133840	135840	不停的播港片 對
135840	137840	而且 而我們後來因為
137840	139840	就是翠翠說要聊這個主題 所以我們稍微查了一下
139840	141840	喔 小時候看的一些港片
141840	143840	有名的港片 一些名聲很好的港片
143840	145840	後來發現 台灣其實不是一直在輪播港片
145840	147840	對啊 台灣只輪播
147840	149840	香港的
149840	151840	幾句 對 就是特別紅的
151840	153840	尤其是賀歲片 之類的 對
153840	155840	像是那個以前有一個什麼
155840	157840	那個龍翔電視台
